Class,Rank,Bin_Center,Bin_Range,Activity_Value
1,1,1594.44,1594.15-1594.73,0.0163
1,2,1596.16,1595.88-1596.45,0.016
1,3,1608.22,1607.93-1608.51,0.0144
1,4,1592.14,1591.86-1592.43,0.0137
1,5,1586.4,1586.11-1586.69,0.0132
1,6,1582.96,1582.67-1583.24,0.0118
1,7,1605.35,1605.06-1605.64,0.0107
,,,,
2,1,1594.44,1594.15-1594.73,0.019
2,2,1596.16,1595.88-1596.45,0.0188
2,3,1608.22,1607.93-1608.51,0.0168
2,4,1592.14,1591.86-1592.43,0.0161
2,5,1586.4,1586.11-1586.69,0.0155
2,6,1582.96,1582.67-1583.24,0.014
2,7,1588.7,1588.41-1588.98,0.0132
,,,,
3,1,1594.44,1594.15-1594.73,0.0186
3,2,1596.16,1595.88-1596.45,0.018
3,3,1608.22,1607.93-1608.51,0.0162
3,4,1592.14,1591.86-1592.43,0.0154
3,5,1586.4,1586.11-1586.69,0.015
3,6,1582.96,1582.67-1583.24,0.0135
3,7,1588.7,1588.41-1588.98,0.0129
,,,,
4,1,1594.44,1594.15-1594.73,0.012
4,2,1595.59,1595.30-1595.88,0.0119
4,3,1608.22,1607.93-1608.51,0.0113
4,4,1592.14,1591.86-1592.43,0.0104
4,5,1586.4,1586.11-1586.69,0.0101
4,6,1588.7,1588.41-1588.98,0.0089
4,7,1582.96,1582.67-1583.24,0.0088
