confusability,candidate,partial_rho_linear,partial_rho_nonlinear,abs_rho,p_value_nonlinear,n,is_reencoding
entropy,gap_std,-0.1667,-0.1026,0.1026,4.935348983453856e-32,13108,False
entropy,depth_std,-0.0445,-0.055,0.055,2.9821067623157547e-10,13108,False
entropy,ew_mean,-0.1384,-0.0532,0.0532,1.1367082972485874e-09,13108,False
entropy,depth_max,-0.0377,-0.0496,0.0496,1.3590022828639268e-08,13108,False
entropy,ew_std,-0.0562,-0.0412,0.0412,2.32977280923645e-06,13108,False
entropy,gap_mean,0.0237,0.0258,0.0258,0.00313645154000106,13108,True
entropy,depth_mean,0.003,-0.0181,0.0181,0.03778386556921311,13108,False
entropy,total_ew,0.0072,0.0036,0.0036,0.6781801380909669,13108,True
margin,gap_std,-0.2589,-0.1951,0.1951,1.2493458018916994e-112,13108,False
margin,depth_std,-0.0511,-0.0646,0.0646,1.3528061239360728e-13,13108,False
margin,ew_std,-0.0782,-0.0642,0.0642,1.9358123572272402e-13,13108,False
margin,depth_max,-0.0465,-0.0615,0.0615,1.7903911278923885e-12,13108,False
margin,ew_mean,-0.151,-0.0566,0.0566,8.841552093571516e-11,13108,False
margin,gap_mean,0.0351,0.0382,0.0382,1.22560242732103e-05,13108,True
margin,depth_mean,0.0327,0.0101,0.0101,0.24554875183539232,13108,False
margin,total_ew,0.0039,-0.0003,0.0003,0.9682159709894014,13108,True
