feedback_class,class_name,ew_center_angstrom,density,count
1,NoFeedback,2.708004883758723e-07,0.0,0
1,NoFeedback,4.326185358299228e-07,0.0,0
1,NoFeedback,6.911316839423453e-07,1.1806542713710229e-06,1
1,NoFeedback,1.104120524176447e-06,5.549075075443808e-05,47
1,NoFeedback,1.7638926998018662e-06,0.0003388477758834836,287
1,NoFeedback,2.8179147006935846e-06,0.0006458178864399496,547
1,NoFeedback,4.501772279729356e-06,0.0003648221698536461,309
1,NoFeedback,7.191826513964919e-06,0.0002160597316608972,183
1,NoFeedback,1.1489334731537833e-05,0.0006056756412133348,513
1,NoFeedback,1.8354838276062105e-05,0.0021322616140960673,1806
1,NoFeedback,2.9322854282904255e-05,0.007315333865414858,6196
1,NoFeedback,4.6844857490125815e-05,0.017812530992174624,15087
1,NoFeedback,7.483721237020211e-05,0.03495445035821051,29606
1,NoFeedback,0.00011955652456672027,0.05539039514137154,46915
1,NoFeedback,0.00019099806251153355,0.07514037979286602,63643
1,NoFeedback,0.00030512981215677056,0.09115949694682805,77211
1,NoFeedback,0.00048746150114064104,0.099375670021299,84170
1,NoFeedback,0.0007787463093648895,0.09999079089668331,84691
1,NoFeedback,0.0012440896623228223,0.09296117536494024,78737
1,NoFeedback,0.001987501024769925,0.08021247054267593,67939
1,NoFeedback,0.003175141184025443,0.06677072166311683,56554
1,NoFeedback,0.00507246105176803,0.05692996831123936,48219
1,NoFeedback,0.00810353292356069,0.04988854623678258,42255
1,NoFeedback,0.01294583539884321,0.04248466330101489,35984
1,NoFeedback,0.020681677455356224,0.03498160540645204,29629
1,NoFeedback,0.03304010665898087,0.027901221741040014,23632
1,NoFeedback,0.05278337071029561,0.020899941911809848,17702
1,NoFeedback,0.08432431082310658,0.015537410211242662,13160
1,NoFeedback,0.13471268128780073,0.01112648585340052,9424
1,NoFeedback,0.21521084871737572,0.00789503511265803,6687
1,NoFeedback,0.3438110574512592,0.0046246227809602965,3917
1,NoFeedback,0.549256898201198,0.0019929444100742866,1688
1,NoFeedback,0.877467823338897,0.00028571833367178754,242
1,NoFeedback,1.4018026601334783,5.903271356855115e-06,5
1,NoFeedback,2.23945613239695,1.1806542713710229e-06,1
1,NoFeedback,3.5776531972430123,1.1806542713710229e-06,1
1,NoFeedback,5.71549592536265,0.0,0
1,NoFeedback,9.130816172459253,0.0,0
1,NoFeedback,14.586976364601897,0.0,0
2,StellarWind,2.708004883758723e-07,0.0,0
2,StellarWind,4.326185358299228e-07,0.0,0
2,StellarWind,6.911316839423453e-07,0.0,0
2,StellarWind,1.104120524176447e-06,4.6046821352501406e-05,39
2,StellarWind,1.7638926998018662e-06,0.00032350843719449704,274
2,StellarWind,2.8179147006935846e-06,0.0006009700530364927,509
2,StellarWind,4.501772279729356e-06,0.00032350843719449704,274
2,StellarWind,7.191826513964919e-06,0.0002042589767687883,173
2,StellarWind,1.1489334731537833e-05,0.0006210417443952754,526
2,StellarWind,1.8354838276062105e-05,0.002076829711770512,1759
2,StellarWind,2.9322854282904255e-05,0.007056970544202587,5977
2,StellarWind,4.6844857490125815e-05,0.01737736196579784,14718
2,StellarWind,7.483721237020211e-05,0.03412069462220354,28899
2,StellarWind,0.00011955652456672027,0.054373031203215245,46052
2,StellarWind,0.00019099806251153355,0.0741318403143463,62787
2,StellarWind,0.00030512981215677056,0.08989047940644466,76134
2,StellarWind,0.00048746150114064104,0.09794867314313241,82959
2,StellarWind,0.0007787463093648895,0.09871375879022012,83607
2,StellarWind,0.0012440896623228223,0.09183507209279261,77781
2,StellarWind,0.001987501024769925,0.07935166075535678,67208
2,StellarWind,0.003175141184025443,0.06624248492261772,56105
2,StellarWind,0.00507246105176803,0.05644395747635082,47806
2,StellarWind,0.00810353292356069,0.04902451579996316,41522
2,StellarWind,0.01294583539884321,0.04163459131675018,35263
2,StellarWind,0.020681677455356224,0.034446564434852014,29175
2,StellarWind,0.03304010665898087,0.03220679981675727,27278
2,StellarWind,0.05278337071029561,0.02486056077944281,21056
2,StellarWind,0.08432431082310658,0.016554422620087748,14021
2,StellarWind,0.13471268128780073,0.01173721669397991,9941
2,StellarWind,0.21521084871737572,0.008875229643762899,7517
2,StellarWind,0.3438110574512592,0.005657855587722737,4792
2,StellarWind,0.549256898201198,0.002663631512083158,2256
2,StellarWind,0.877467823338897,0.00041206001671853824,349
2,StellarWind,1.4018026601334783,8.500951634307951e-05,72
2,StellarWind,2.23945613239695,7.674470225416901e-05,65
2,StellarWind,3.5776531972430123,4.014338271756533e-05,34
2,StellarWind,5.71549592536265,3.305925635564203e-05,28
2,StellarWind,9.130816172459253,9.445501815897724e-06,8
2,StellarWind,14.586976364601897,0.0,0
3,WindAGN,2.708004883758723e-07,0.0,0
3,WindAGN,4.326185358299228e-07,0.0,0
3,WindAGN,6.911316839423453e-07,0.0,0
3,WindAGN,1.104120524176447e-06,4.981144545525231e-05,41
3,WindAGN,1.7638926998018662e-06,0.000291579192908794,240
3,WindAGN,2.8179147006935846e-06,0.0006062417385895342,499
3,WindAGN,4.501772279729356e-06,0.0003462502915791929,285
3,WindAGN,7.191826513964919e-06,0.00019924578182100924,164
3,WindAGN,1.1489334731537833e-05,0.000620820698234974,511
3,WindAGN,1.8354838276062105e-05,0.0021078745820698234,1735
3,WindAGN,2.9322854282904255e-05,0.006994255889899697,5757
3,WindAGN,4.6844857490125815e-05,0.01680346590467304,13831
3,WindAGN,7.483721237020211e-05,0.03316227354016017,27296
3,WindAGN,0.00011955652456672027,0.05289003576704766,43534
3,WindAGN,0.00019099806251153355,0.07229949070834306,59510
3,WindAGN,0.00030512981215677056,0.08831204805225099,72690
3,WindAGN,0.00048746150114064104,0.09664027874970842,79545
3,WindAGN,0.0007787463093648895,0.09802892465593656,80688
3,WindAGN,0.0012440896623228223,0.09169801142990436,75477
3,WindAGN,0.001987501024769925,0.08007372093927377,65909
3,WindAGN,0.003175141184025443,0.06731470142290646,55407
3,WindAGN,0.00507246105176803,0.05772296088951093,47512
3,WindAGN,0.00810353292356069,0.05066552950781432,41703
3,WindAGN,0.01294583539884321,0.042847562397947285,35268
3,WindAGN,0.020681677455356224,0.035843587201617295,29503
3,WindAGN,0.03304010665898087,0.03177484254723583,26154
3,WindAGN,0.05278337071029561,0.024552182956224244,20209
3,WindAGN,0.08432431082310658,0.01733924267164295,14272
3,WindAGN,0.13471268128780073,0.012607155353393983,10377
3,WindAGN,0.21521084871737572,0.009336608739600342,7685
3,WindAGN,0.3438110574512592,0.00585345229764404,4818
3,WindAGN,0.549256898201198,0.0025549626778633076,2103
3,WindAGN,0.877467823338897,0.0003134476323769536,258
