feedback_class,class_name,k_bin_idx,k_center_s_per_km,pk_mean,pk_sem,n_modes_in_bin,n_sightlines
1,NoFeedback,0,0.0013838186246550594,0.31212543700968143,0.0076869255491256155,1,16384
1,NoFeedback,1,0.0019570150668516686,0.0,0.0,0,16384
1,NoFeedback,2,0.002767637249310119,0.37994078138774867,0.008775948452519207,1,16384
1,NoFeedback,3,0.003914030133703338,0.3528441391769276,0.006546645422711098,1,16384
1,NoFeedback,4,0.0055352744986202395,0.32005162216456196,0.005207844047589255,2,16384
1,NoFeedback,5,0.007828060267406673,0.2857921002689693,0.004527565005693972,2,16384
1,NoFeedback,6,0.011070548997240472,0.24246049214515153,0.003516494206061137,4,16384
1,NoFeedback,7,0.01565612053481335,0.19846119911383145,0.002758137352979967,4,16384
1,NoFeedback,8,0.02214109799448095,0.14768756313425954,0.001868217343888313,7,16384
1,NoFeedback,9,0.0313122410696267,0.09599210935671838,0.0011182892425249486,9,16384
1,NoFeedback,10,0.0442821959889619,0.05105256779997301,0.0005224204355982342,14,16384
1,NoFeedback,11,0.0626244821392534,0.021350899620272108,0.00019450263102198514,18,16384
1,NoFeedback,12,0.08856439197792378,0.006838381715926427,5.768487142641675e-05,27,16384
1,NoFeedback,13,0.12524896427850676,0.0013795625146475299,1.0924985032812246e-05,37,16384
1,NoFeedback,14,0.17712878395584758,0.00016739736898345155,1.6121707790733594e-06,54,16384
1,NoFeedback,15,0.2504979285570136,1.1322144829068768e-05,1.8467449756710352e-07,74,16384
1,NoFeedback,16,0.3542575679116952,4.4097142750034506e-07,1.5616206006625566e-08,107,16384
1,NoFeedback,17,0.5009958571140273,8.787253036305348e-09,7.069357786404259e-10,149,16384
1,NoFeedback,18,0.7085151358233905,7.825732219988374e-11,1.2614922241293317e-11,213,16384
1,NoFeedback,19,1.0019917142280546,2.4826500022638657e-13,6.425443443830686e-14,300,16384
2,StellarWind,0,0.0013838186246550594,1.5693165628239982,0.24214332931356958,1,16384
2,StellarWind,1,0.0019570150668516686,0.0,0.0,0,16384
2,StellarWind,2,0.002767637249310119,1.1914729595056708,0.2916017982731832,1,16384
2,StellarWind,3,0.003914030133703338,0.8025205358175216,0.239784801259815,1,16384
2,StellarWind,4,0.0055352744986202395,0.6212337325963763,0.1708266558757501,2,16384
2,StellarWind,5,0.007828060267406673,0.47580316522691385,0.09530280612704099,2,16384
2,StellarWind,6,0.011070548997240472,0.3517527867343822,0.037462176412332036,4,16384
2,StellarWind,7,0.01565612053481335,0.2622854247297973,0.011319044397074486,4,16384
2,StellarWind,8,0.02214109799448095,0.18539551515489652,0.0038815215738314166,7,16384
2,StellarWind,9,0.0313122410696267,0.11591845470956319,0.001539360835946251,9,16384
2,StellarWind,10,0.0442821959889619,0.05907616948739968,0.0006277513619695398,14,16384
2,StellarWind,11,0.0626244821392534,0.02411413059028278,0.00022601906110289842,18,16384
2,StellarWind,12,0.08856439197792378,0.007807465346935934,6.881976019252378e-05,27,16384
2,StellarWind,13,0.12524896427850676,0.0016140255224636683,1.4712379534296976e-05,37,16384
2,StellarWind,14,0.17712878395584758,0.00022069443135040365,3.2604554160288898e-06,54,16384
2,StellarWind,15,0.2504979285570136,2.223876070437787e-05,7.920275120952348e-07,74,16384
2,StellarWind,16,0.3542575679116952,2.4264115598503777e-06,1.756633688686363e-07,107,16384
