variant,true_class,true_label,pred_class,pred_label,fraction,count
RF_Raw,1,NoFeedback,1,NoFeedback,0.8422337503814464,2760
RF_Raw,1,NoFeedback,2,StellarWind,0.06713457430576747,220
RF_Raw,1,NoFeedback,3,WindAGN,0.03570338724443088,117
RF_Raw,1,NoFeedback,4,WindStrongAGN,0.0549282880683552,180
RF_Raw,2,StellarWind,1,NoFeedback,0.8623741226731767,2826
RF_Raw,2,StellarWind,2,StellarWind,0.03753433018004272,123
RF_Raw,2,StellarWind,3,WindAGN,0.03509307293256027,115
RF_Raw,2,StellarWind,4,WindStrongAGN,0.06499847421422032,213
RF_Raw,3,WindAGN,1,NoFeedback,0.7812023191943851,2560
RF_Raw,3,WindAGN,2,StellarWind,0.06499847421422032,213
RF_Raw,3,WindAGN,3,WindAGN,0.04882514494964907,160
RF_Raw,3,WindAGN,4,WindStrongAGN,0.1049740616417455,344
RF_Raw,4,WindStrongAGN,1,NoFeedback,0.07659444613976198,251
RF_Raw,4,WindStrongAGN,2,StellarWind,0.02014037229173024,66
RF_Raw,4,WindStrongAGN,3,WindAGN,0.028074458346048214,92
RF_Raw,4,WindStrongAGN,4,WindStrongAGN,0.8751907232224596,2868
RF_D1,1,NoFeedback,1,NoFeedback,0.1605126640219713,526
RF_D1,1,NoFeedback,2,StellarWind,0.5013732072017089,1643
RF_D1,1,NoFeedback,3,WindAGN,0.3289594140982606,1078
RF_D1,1,NoFeedback,4,WindStrongAGN,0.0091547146780592,30
RF_D1,2,StellarWind,1,NoFeedback,0.5337198657308514,1749
RF_D1,2,StellarWind,2,StellarWind,0.12450411962160512,408
RF_D1,2,StellarWind,3,WindAGN,0.32590784253890753,1068
RF_D1,2,StellarWind,4,WindStrongAGN,0.015868172108635947,52
RF_D1,3,WindAGN,1,NoFeedback,0.4443088190418065,1456
RF_D1,3,WindAGN,2,StellarWind,0.40860543179737563,1339
RF_D1,3,WindAGN,3,WindAGN,0.11443393347574,375
RF_D1,3,WindAGN,4,WindStrongAGN,0.032651815685077815,107
RF_D1,4,WindStrongAGN,1,NoFeedback,0.010375343301800427,34
RF_D1,4,WindStrongAGN,2,StellarWind,0.012511443393347574,41
RF_D1,4,WindStrongAGN,3,WindAGN,0.03478791577662496,114
RF_D1,4,WindStrongAGN,4,WindStrongAGN,0.942325297528227,3088
RF_D6,1,NoFeedback,1,NoFeedback,0.07018614586512054,230
RF_D6,1,NoFeedback,2,StellarWind,0.39853524565151055,1306
RF_D6,1,NoFeedback,3,WindAGN,0.24687213915166312,809
RF_D6,1,NoFeedback,4,WindStrongAGN,0.2844064693317058,932
RF_D6,2,StellarWind,1,NoFeedback,0.36191638693927375,1186
RF_D6,2,StellarWind,2,StellarWind,0.091547146780592,300
RF_D6,2,StellarWind,3,WindAGN,0.2911199267622826,954
RF_D6,2,StellarWind,4,WindStrongAGN,0.2554165395178517,837
RF_D6,3,WindAGN,1,NoFeedback,0.29417149832163564,964
RF_D6,3,WindAGN,2,StellarWind,0.36252670125114433,1188
RF_D6,3,WindAGN,3,WindAGN,0.07110161733292646,233
RF_D6,3,WindAGN,4,WindStrongAGN,0.27220018309429356,892
RF_D6,4,WindStrongAGN,1,NoFeedback,0.11321330485199878,371
RF_D6,4,WindStrongAGN,2,StellarWind,0.12938663411657003,424
RF_D6,4,WindStrongAGN,3,WindAGN,0.1272505340250229,417
RF_D6,4,WindStrongAGN,4,WindStrongAGN,0.6301495270064082,2065
