pixel,wavelength_angstrom,flux,absorption
0,1580.371130000001,0.9308604473030258,0.06913955269697425
1,1580.385030021109,0.9402088787454668,0.05979112125453323
2,1580.3989301644754,0.9480432142379738,0.051956785762026225
3,1580.4128304300975,0.95505071037584,0.044949289624160005
4,1580.4267308179783,0.96161814284863,0.03838185715136999
5,1580.4406313281188,0.9678359277748916,0.03216407222510842
6,1580.4545319605218,0.9736119431900649,0.026388056809935057
7,1580.468432715185,0.9788000175122666,0.02119998248773336
8,1580.4823335921108,0.9832870149759382,0.01671298502406182
9,1580.4962345913025,0.9870281494524737,0.012971850547526254
10,1580.5101357127576,0.9900455987054111,0.00995440129458891
11,1580.5240369564788,0.992410067330563,0.007589932669436972
12,1580.5379383224672,0.9942189738681211,0.005781026131878919
13,1580.5518398107256,0.9955776899635205,0.0044223100364795265
14,1580.5657414212517,0.9965860175720425,0.0034139824279575404
15,1580.5796431540484,0.9973302683046583,0.0026697316953416816
16,1580.593545009118,0.9978802081018618,0.002119791898138157
17,1580.6074469864586,0.9982893353845222,0.0017106646154777527
18,1580.621349086073,0.9985968632127059,0.0014031367872940903
19,1580.635251307962,0.9988305469175385,0.0011694530824615246
20,1580.6491536521287,0.9990098753070403,0.0009901246929596708
21,1580.6630561185705,0.9991487525613368,0.0008512474386631608
22,1580.6769587072902,0.9992572223876655,0.0007427776123345442
23,1580.6908614182908,0.9993425596963889,0.0006574403036111454
24,1580.7047642515697,0.9994100824708334,0.0005899175291665948
25,1580.7186672071298,0.99946373620587,0.0005362637941299653
26,1580.7325702849723,0.9995064613019379,0.0004935386980621237
27,1580.7464734850996,0.9995403304700782,0.0004596695299218245
28,1580.7603768075098,0.9995666850498084,0.00043331495019161004
29,1580.7742802522055,0.9995865967947462,0.0004134032052538483
30,1580.7881838191895,0.99960128817049,0.00039871182951001227
31,1580.8020875084594,0.9996121557520414,0.00038784424795856864
32,1580.815991320018,0.9996205775236455,0.000379422476354474
33,1580.8298952538664,0.999627630059253,0.00037236994074696383
34,1580.8437993100074,0.9996337990549993,0.00036620094500072753
35,1580.8577034884388,0.9996391632714219,0.00036083672857811777
36,1580.8716077891631,0.9996437897077388,0.00035621029226118317
37,1580.8855122121831,0.9996478818432297,0.0003521181567702758
