k_bin_idx,k_center_s_per_km,importance
0,0.001957015066871626,0.052818105398602225
1,0.0027676372493383432,0.0
2,0.003914030133743252,0.05252705685149122
3,0.005535274498676687,0.049299065734078766
4,0.007828060267486503,0.04881862133824562
5,0.011070548997353364,0.048498990121387496
6,0.015656120534973,0.047319809404361944
7,0.022141097994706732,0.04736926322799606
8,0.031312241069946,0.04775356283357949
9,0.04428219598941346,0.04794366241967833
10,0.06262448213989197,0.04831305061221892
11,0.0885643919788269,0.05073345884635825
12,0.12524896427978394,0.0526418876012914
13,0.17712878395765375,0.0551270968755308
14,0.2504979285595679,0.06092222835544738
15,0.3542575679153076,0.06392858847464887
16,0.5009958571191357,0.06677224527430733
17,0.7085151358306152,0.08156631876595137
18,1.001991714238272,0.07764698786482455
