k_bin_idx,k_center_s_per_km,importance
0,0.001957015066871626,0.04478220239073317
1,0.0027676372493383432,0.0
2,0.003914030133743252,0.041368423826570286
3,0.005535274498676687,0.040149479273250285
4,0.007828060267486503,0.038399198356185195
5,0.011070548997353364,0.038385774691952285
6,0.015656120534973,0.03791124766542055
7,0.022141097994706732,0.037151481206622726
8,0.031312241069946,0.04031081178046848
9,0.04428219598941346,0.04356058626947892
10,0.06262448213989197,0.06410773034967772
11,0.0885643919788269,0.08551605606890775
12,0.12524896427978394,0.0862549801597045
13,0.17712878395765375,0.07290641511378759
14,0.2504979285595679,0.06428403037679167
15,0.3542575679153076,0.06138187379545372
16,0.5009958571191357,0.06420263857245137
17,0.7085151358306152,0.06939044396054898
18,1.001991714238272,0.06993662614199465
