k_bin_idx,k_center_s_per_km,importance
0,0.0013838186246691714,0.0
1,0.001957015066871626,0.05246127751108935
2,0.0027676372493383432,0.0
3,0.003914030133743252,0.05219331271732122
4,0.005535274498676687,0.049087751487401285
5,0.007828060267486503,0.0487287165175673
6,0.011070548997353364,0.04813433464542041
7,0.015656120534973,0.04739843581423577
8,0.022141097994706732,0.047390166982019304
9,0.031312241069946,0.04751367813300982
10,0.04428219598941346,0.04787715070026497
11,0.06262448213989197,0.04874492037184074
12,0.0885643919788269,0.05062126037170351
13,0.12524896427978394,0.05317883520108678
14,0.17712878395765375,0.0553712768019898
15,0.2504979285595679,0.06082572228801091
16,0.3542575679153076,0.06503017747578432
17,0.5009958571191357,0.0671857582293224
18,0.7085151358306152,0.08093461921756237
19,1.001991714238272,0.07732260553436981
