k_bin_idx,k_center_s_per_km,importance
0,0.0013838186246691714,0.0
1,0.001957015066871626,0.047375530293867235
2,0.0027676372493383432,0.0
3,0.003914030133743252,0.04672127967100822
4,0.005535274498676687,0.044327545802798275
5,0.007828060267486503,0.04331376597860805
6,0.011070548997353364,0.04304217293840407
7,0.015656120534973,0.043127918046720885
8,0.022141097994706732,0.04309660736452724
9,0.031312241069946,0.043362192684065576
10,0.04428219598941346,0.04417135486984281
11,0.06262448213989197,0.049531984674685156
12,0.0885643919788269,0.05274280338161197
13,0.12524896427978394,0.05908090904065555
14,0.17712878395765375,0.061053027180880015
15,0.2504979285595679,0.07117547594472415
16,0.3542575679153076,0.07584476247355393
17,0.5009958571191357,0.07187368307140507
18,0.7085151358306152,0.08749064403839779
19,1.001991714238272,0.07266834254424402
