regime,M,seed,fold,n_train_groups,n_test_groups,balanced_acc,balanced_acc_3class,bal_acc_c2_vs_c3,mid_k_frac,abs_r_c1,abs_r_c2,abs_r_c3,abs_r_c4,ablation_acc_drop,confusion_flat,kbin_importance_flat,runtime_sec
per_sightline,1,42,1,52428,13108,0.2936374732987489,0.1566473400467908,0.1524259993896857,0.18956933878839038,0.08913024684681224,0.02039807466117123,0.018514763904987967,0.16028450070204292,-0.0024412572474824534,"0.165090,0.466585,0.268233,0.100092,0.449802,0.122063,0.321636,0.106500,0.311565,0.356118,0.182789,0.149527,0.098566,0.092768,0.104059,0.704608","0.050069,0.000000,0.049165,0.048384,0.047043,0.046059,0.045054,0.044714,0.044502,0.044937,0.044842,0.046754,0.047793,0.050181,0.053371,0.057155,0.061859,0.065042,0.077896,0.075182",12.239600658416748
per_sightline,1,42,2,52429,13107,0.29155556282120215,0.15196826365578273,0.14464449191333537,0.18957481706935056,0.09485153642314863,0.02604238044504466,0.03431153923464659,0.19310058655278187,-0.007171332888452175,"0.166616,0.461703,0.258163,0.113518,0.484284,0.109857,0.310955,0.094904,0.322246,0.345133,0.179432,0.153189,0.104396,0.070513,0.114774,0.710317","0.050271,0.000000,0.048918,0.048834,0.047114,0.045735,0.045515,0.044523,0.044205,0.045017,0.044947,0.046385,0.048184,0.050059,0.053343,0.057395,0.063075,0.065259,0.075761,0.075458",12.417263746261597
per_sightline,1,42,3,52429,13107,0.2934224381050746,0.1528004596359799,0.14757115024127535,0.1892319558611293,0.07491399387802795,0.007032447278341228,0.010621439665035657,0.16744564372964754,-0.0016782246336717321,"0.163259,0.465060,0.267623,0.104059,0.476350,0.113824,0.314617,0.095209,0.313492,0.352259,0.181319,0.152930,0.101922,0.067440,0.115349,0.715288","0.050293,0.000000,0.048933,0.048613,0.047138,0.045571,0.045263,0.044667,0.044490,0.044807,0.044909,0.046182,0.047527,0.050614,0.053893,0.057601,0.061796,0.065777,0.076959,0.074967",12.148712158203125
per_sightline,1,42,4,52429,13107,0.2909760576452673,0.1505558095426878,0.14130518211995172,0.18975670049706642,0.08839922348236959,0.04693166979085068,0.03148914729690233,0.17254960218773308,-0.004349653838515599,"0.169057,0.463534,0.253891,0.113518,0.470085,0.114164,0.302808,0.112943,0.327128,0.352151,0.168447,0.152273,0.099786,0.086665,0.101312,0.712237","0.049953,0.000000,0.048957,0.048733,0.047063,0.045674,0.045232,0.044316,0.043955,0.045070,0.045127,0.046610,0.047944,0.050076,0.053591,0.057594,0.063381,0.064299,0.076666,0.075760",12.264329195022583
per_sightline,1,42,5,52429,13107,0.2880046410714705,0.15106955906467656,0.1441867561794324,0.18990909500618364,0.08245267171814581,0.024847832059689257,0.030470558973716005,0.17467348202439315,-0.005875206744904604,"0.164835,0.467643,0.258242,0.109280,0.482453,0.108636,0.297833,0.111077,0.317363,0.364968,0.179738,0.137931,0.109246,0.083308,0.108636,0.698810","0.050161,0.000000,0.049007,0.048741,0.047099,0.045783,0.045168,0.044787,0.044258,0.045012,0.045017,0.046619,0.048046,0.050227,0.053545,0.057679,0.062455,0.064480,0.077845,0.074072",12.577418565750122
per_sightline,1,43,1,52428,13108,0.2927982911199267,0.15379920659139457,0.14464449191333537,0.18959266068399663,0.0690309331914901,0.06170720978269624,0.049369066215794136,0.17810136483858896,0.0005340250228867416,"0.172109,0.459872,0.250839,0.117180,0.471468,0.112908,0.317363,0.098261,0.323772,0.357034,0.176381,0.142814,0.101312,0.079341,0.109551,0.709796","0.050224,0.000000,0.048715,0.048906,0.046886,0.045406,0.045145,0.044739,0.044432,0.044992,0.044984,0.046100,0.049202,0.049306,0.052431,0.059287,0.060581,0.062762,0.080390,0.075512",12.443597793579102
per_sightline,1,43,2,52429,13107,0.29628547545087064,0.15837656393042418,0.15669819957277997,0.18997890164810585,0.09480875277156983,0.015879418341321627,0.005681878035809177,0.25761647040015284,-0.0012965453154650808,"0.161733,0.482453,0.255417,0.100397,0.475130,0.126640,0.296308,0.101922,0.305157,0.367409,0.186756,0.140677,0.094017,0.088828,0.107143,0.710012","0.050431,0.000000,0.049099,0.048946,0.046986,0.045805,0.045064,0.044764,0.044574,0.044938,0.045116,0.046455,0.049100,0.049308,0.051535,0.058739,0.061486,0.062096,0.080218,0.075339",12.302749156951904
per_sightline,1,43,3,52429,13107,0.29868684150420494,0.1576835640766065,0.15291228538863572,0.1900699048013049,0.06264798134728629,0.04999735232729272,0.0029625907036446657,0.18153612066319935,-0.0007621244079895617,"0.167226,0.452243,0.267928,0.112603,0.458346,0.118706,0.311871,0.111077,0.289377,0.366606,0.187118,0.156899,0.092157,0.079951,0.106195,0.721697","0.050131,0.000000,0.049045,0.048790,0.046704,0.045510,0.045590,0.044555,0.044427,0.044969,0.045101,0.046930,0.048478,0.049560,0.051596,0.058718,0.061694,0.062294,0.079943,0.075964",12.06052303314209
per_sightline,1,43,4,52429,13107,0.2901369453284315,0.151776531315744,0.15030745794401576,0.1895541269241165,0.10277594657918772,0.006272712812531146,0.022063022353134155,0.14817254081086279,-0.004425151358321888,"0.154715,0.460177,0.281660,0.103448,0.463675,0.115079,0.322039,0.099206,0.327434,0.337504,0.185536,0.149527,0.108331,0.074458,0.111993,0.705218","0.050313,0.000000,0.048739,0.048659,0.047444,0.045839,0.045606,0.044519,0.044444,0.044948,0.045049,0.046509,0.048554,0.049442,0.051768,0.059078,0.062573,0.061795,0.079704,0.075016",12.293206691741943
per_sightline,1,43,5,52429,13107,0.2952523563982215,0.15900395561671118,0.15456209948123284,0.18891193528431738,0.08558784386294807,0.007152429462024824,0.013824070602348018,0.14458740774370143,-0.0016787835295616893,"0.167888,0.471612,0.258547,0.101954,0.460177,0.118096,0.314312,0.107415,0.315227,0.349100,0.191028,0.144644,0.093683,0.086970,0.115349,0.703998","0.050279,0.000000,0.048676,0.049185,0.047173,0.045711,0.045004,0.044612,0.044383,0.044887,0.044901,0.046094,0.048568,0.049349,0.052854,0.058581,0.060213,0.063219,0.080645,0.075667",12.132885694503784
