gate,regime,M,metric,value,pass
G1,global,1,balanced_acc_p16,0.2909212159860619,False
G1,global,4,balanced_acc_p16,0.3731363352095059,False
G1,global,16,balanced_acc_p16,0.5042541846006695,False
G1,global,32,balanced_acc_p16,0.5759670664382258,False
G1,global,64,balanced_acc_p16,0.6615158371040724,True
G1,global,128,balanced_acc_p16,0.7146923076923077,True
G1,global,256,balanced_acc_p16,0.7692307692307693,True
G1,per_sightline,1,balanced_acc_p16,0.2892412736790216,False
G1,per_sightline,4,balanced_acc_p16,0.37357753357753354,False
G1,per_sightline,16,balanced_acc_p16,0.5073627450980392,False
G1,per_sightline,32,balanced_acc_p16,0.5815724347991623,False
G1,per_sightline,64,balanced_acc_p16,0.656628959276018,True
G1,per_sightline,128,balanced_acc_p16,0.7227076923076923,True
G1,per_sightline,256,balanced_acc_p16,0.7876923076923077,True
G2,per_sightline,64,obs_median_3class_vs_null_p99,0.5949597787833082,True
G2_null_p99,,,null_p99,0.3860386998920051,
G3,all,all,mid_k_frac_median,0.3398118677184193,False
G4,all,all,bal_acc_c2_vs_c3_median,0.3468732153055396,False
