regime,M,n_rows,balanced_acc_median,balanced_acc_p16,balanced_acc_p84,bal_acc_3class_median,bal_acc_c2_vs_c3_median,mid_k_frac_median
global,1,50,0.2941985232666496,0.2909212159860619,0.2983767735163829,0.15604298729108002,0.15076156085463377,0.19989063580140015
global,4,50,0.3799765106167545,0.3731363352095059,0.387927305756574,0.23911273911273906,0.19926739926739925,0.20480430977481084
global,16,50,0.5224025585844093,0.5042541846006695,0.5317711621233859,0.4030368244858919,0.2853658536585366,0.2791100064039877
global,32,50,0.5932205406434419,0.5759670664382258,0.6128041119360365,0.481566089218859,0.3431372549019608,0.3460540574911828
global,64,50,0.6791101055806938,0.6615158371040724,0.7011651583710407,0.5822649572649573,0.4509803921568627,0.38892598381323573
global,128,50,0.7417307692307693,0.7146923076923077,0.7923538461538462,0.6592307692307693,0.5269230769230769,0.4008939656952951
global,256,50,0.8269230769230769,0.7692307692307693,0.8819230769230769,0.7756410256410255,0.6778846153846154,0.4003881260448824
per_sightline,1,50,0.29286825789915505,0.2892412736790216,0.29632797762031815,0.15406784921585043,0.1486115349404943,0.1898055218210243
per_sightline,4,50,0.38034374162422946,0.37357753357753354,0.38678415080854106,0.23984583618729954,0.1962160129843056,0.19525739672626075
per_sightline,16,50,0.524079387852702,0.5073627450980392,0.5347697274031563,0.4075043838673681,0.2872967479674796,0.2661076578804419
per_sightline,32,50,0.5988482771749476,0.5815724347991623,0.6201389682086427,0.49436829748080463,0.3522510946126023,0.33170525039557225
per_sightline,64,50,0.6856617647058824,0.656628959276018,0.7113989441930618,0.5949597787833082,0.4537141779788838,0.3780084061579704
per_sightline,128,50,0.7475,0.7227076923076923,0.7950615384615385,0.6738461538461538,0.5461538461538461,0.3898236573749842
per_sightline,256,50,0.8325320512820513,0.7876923076923077,0.8676923076923077,0.7767094017094016,0.6650641025641026,0.3908619484399156
