M,task,feature_set,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
1,C1-C2,fbar,42,1,26214,6554,0.5070186145865121,1.7373511791229248
1,C1-C2,fbar,42,2,26214,6554,0.5059505645407385,1.6750144958496094
1,C1-C2,fbar,42,3,26214,6554,0.5024412572474825,1.5756230354309082
1,C1-C2,fbar,42,4,26215,6553,0.496719141401778,1.5245449542999268
1,C1-C2,fbar,42,5,26215,6553,0.5005345373441192,1.5420594215393066
1,C1-C3,fbar,42,1,26214,6554,0.5073237717424474,1.4567887783050537
1,C1-C3,fbar,42,2,26214,6554,0.4923710711016174,1.5996458530426025
1,C1-C3,fbar,42,3,26214,6554,0.503967043027159,1.389277458190918
1,C1-C3,fbar,42,4,26215,6553,0.5041954917221929,1.4394557476043701
1,C1-C3,fbar,42,5,26215,6553,0.4950401249989288,1.4798593521118164
1,C1-C4,fbar,42,1,26214,6554,0.5558437595361612,1.13413405418396
1,C1-C4,fbar,42,2,26214,6554,0.5395178516936222,1.183553695678711
1,C1-C4,fbar,42,3,26214,6554,0.5543179737564846,1.1638386249542236
1,C1-C4,fbar,42,4,26215,6553,0.5565391191726254,1.1421623229980469
1,C1-C4,fbar,42,5,26215,6553,0.5511965402108826,1.1713283061981201
1,C2-C3,fbar,42,1,26214,6554,0.49572779981690573,1.861072063446045
1,C2-C3,fbar,42,2,26214,6554,0.48809887091852305,2.163754463195801
1,C2-C3,fbar,42,3,26214,6554,0.4952700640830028,2.017651081085205
1,C2-C3,fbar,42,4,26215,6553,0.5011464817690023,1.9874558448791504
1,C2-C3,fbar,42,5,26215,6553,0.5025216916809837,1.9297370910644531
1,C2-C4,fbar,42,1,26214,6554,0.5711016173329264,1.064668893814087
1,C2-C4,fbar,42,2,26214,6554,0.5749160817821178,1.0794050693511963
1,C2-C4,fbar,42,3,26214,6554,0.5645407384803174,1.0628764629364014
1,C2-C4,fbar,42,4,26215,6553,0.5597441076537811,1.0534083843231201
1,C2-C4,fbar,42,5,26215,6553,0.5711887585171076,1.0537793636322021
1,C3-C4,fbar,42,1,26214,6554,0.5694232529752823,1.0337557792663574
