M,task,feature_set,n,median,p16,p84
1,4class,fbar,50,0.27965771725307886,0.27643981361939857,0.28419895408223145
4,4class,fbar,50,0.3206220777867119,0.3139210816283987,0.3284098245927514
16,4class,fbar,50,0.41731826877092293,0.40027427068388327,0.435832137733142
32,4class,fbar,50,0.4774057681324957,0.449783932990672,0.49682276794212826
64,4class,fbar,50,0.5336538461538461,0.4986085972850679,0.5591365007541478
128,4class,fbar,50,0.6078846153846154,0.5805846153846154,0.6507076923076923
256,4class,fbar,50,0.6923076923076923,0.6311538461538462,0.75
1,C1-C2,fbar,50,0.5021361000915472,0.49732958053373066,0.5083857186451022
4,C1-C2,fbar,50,0.5144997617558593,0.5049829655439412,0.5247653593019447
16,C1-C2,fbar,50,0.5665710186513631,0.5408933524629365,0.5906341463414634
32,C1-C2,fbar,50,0.6244288977727013,0.590449267085475,0.6534513611269751
64,C1-C2,fbar,50,0.696078431372549,0.6500678733031674,0.726003016591252
128,C1-C2,fbar,50,0.8057692307692308,0.7614153846153847,0.8461538461538461
256,C1-C2,fbar,50,0.9583333333333331,0.884102564102564,0.9615384615384616
1,C1-C3,fbar,50,0.5011057056563618,0.49683548117023857,0.5080230511020869
4,C1-C3,fbar,50,0.5152625152625152,0.5066178266178266,0.5254735400101254
16,C1-C3,fbar,50,0.5616511238641798,0.5317073170731708,0.5904811095169775
32,C1-C3,fbar,50,0.6025842375785265,0.560036169807729,0.6389682086426804
64,C1-C3,fbar,50,0.6698717948717949,0.6274509803921569,0.7156862745098039
128,C1-C3,fbar,50,0.7826923076923077,0.7252615384615384,0.8435692307692307
256,C1-C3,fbar,50,0.8846153846153846,0.8392307692307692,0.9615384615384616
1,C1-C4,fbar,50,0.5535980692755182,0.5486673649139319,0.5575361410027263
4,C1-C4,fbar,50,0.6144688644688645,0.6027838827838828,0.6247034456058846
16,C1-C4,fbar,50,0.7573170731707317,0.7357331420373028,0.775609756097561
32,C1-C4,fbar,50,0.8362602322482391,0.8046011802779364,0.8677308204835332
64,C1-C4,fbar,50,0.8879147812971342,0.8542081447963802,0.9215686274509804
128,C1-C4,fbar,50,0.903846153846154,0.8838461538461538,0.9452615384615385
256,C1-C4,fbar,50,0.9615384615384616,0.9583333333333331,1.0
1,C2-C3,fbar,50,0.49809276777540434,0.49187680593234456,0.5026676752874495
4,C2-C3,fbar,50,0.5022930998540754,0.4886154441764197,0.5122832722832722
16,C2-C3,fbar,50,0.5042922046867527,0.4776585365853658,0.5247804878048781
32,C2-C3,fbar,50,0.4901960784313726,0.46248810203693125,0.5227907862173996
64,C2-C3,fbar,50,0.5118778280542986,0.45660633484162894,0.5588235294117647
128,C2-C3,fbar,50,0.5115384615384615,0.42870769230769223,0.5978769230769231
256,C2-C3,fbar,50,0.4951923076923077,0.3969230769230769,0.601923076923077
1,C2-C4,fbar,50,0.5698164129465624,0.5640538283809569,0.5749649069270675
4,C2-C4,fbar,50,0.6491780577146431,0.6390321331784746,0.6644993299383544
16,C2-C4,fbar,50,0.8193089430894309,0.7874146341463415,0.8344734576757532
32,C2-C4,fbar,50,0.8830668189605939,0.8673348562726061,0.9024043403769275
64,C2-C4,fbar,50,0.931372549019608,0.9117647058823528,0.9512594268476622
128,C2-C4,fbar,50,0.98,0.9571692307692308,1.0
256,C2-C4,fbar,50,1.0,1.0,1.0
1,C3-C4,fbar,50,0.5680169079047627,0.5624654537135464,0.5722559329593202
4,C3-C4,fbar,50,0.6588340182852378,0.6476357247088954,0.6697191697191698
16,C3-C4,fbar,50,0.8195121951219513,0.8041061692969871,0.8324285031085605
32,C3-C4,fbar,50,0.883019227108319,0.8627450980392157,0.9072434799162384
64,C3-C4,fbar,50,0.931372549019608,0.9030618401206636,0.96078431372549
128,C3-C4,fbar,50,0.98,0.9415384615384615,1.0
256,C3-C4,fbar,50,1.0,1.0,1.0
1,C4-rest,fbar,50,0.5608426714630873,0.5564614069328104,0.565379998904564
4,C4-rest,fbar,50,0.6331222639149469,0.6237925802216024,0.6425861978180937
16,C4-rest,fbar,50,0.795024628585048,0.7680756335902121,0.8131886867402875
32,C4-rest,fbar,50,0.8691335839573143,0.8412611871857311,0.8916296132317131
64,C4-rest,fbar,50,0.9150857312622018,0.8920960738607797,0.9447077105900634
128,C4-rest,fbar,50,0.9477034807297966,0.9135064935064936,0.9740522635259478
256,C4-rest,fbar,50,0.9871794871794872,0.9486639676113361,1.0
1,4class,fbar_var,50,0.31676349072214194,0.3131403605549165,0.32001488246605736
4,4class,fbar_var,50,0.4095509842461062,0.4025325203252032,0.4166182584353315
16,4class,fbar_var,50,0.5376942850310856,0.5224395026303205,0.5514662840746054
32,4class,fbar_var,50,0.6094017704169046,0.5870226537216829,0.6299181420140871
64,4class,fbar_var,50,0.6820324283559578,0.6636651583710407,0.7083295625942685
128,4class,fbar_var,50,0.7761538461538462,0.7221384615384615,0.8158307692307692
256,4class,fbar_var,50,0.8341346153846154,0.768974358974359,0.8990384615384616
1,C1-C2,fbar_var,50,0.5044247321864045,0.4981077350073383,0.5099054012816601
4,C1-C2,fbar_var,50,0.5381562881562882,0.525030525030525,0.5509072932487566
16,C1-C2,fbar_var,50,0.630015542802487,0.6083510282161646,0.6512195121951219
32,C1-C2,fbar_var,50,0.7167332952598515,0.6831734247096898,0.7368627450980392
64,C1-C2,fbar_var,50,0.803921568627451,0.7647058823529411,0.8364856711915536
128,C1-C2,fbar_var,50,0.901923076923077,0.8590769230769232,0.9257846153846154
256,C1-C2,fbar_var,50,0.9615384615384616,0.9230769230769232,1.0
1,C1-C3,fbar_var,50,0.5100701861458651,0.5029374506075757,0.5149198133436766
4,C1-C3,fbar_var,50,0.528998778998779,0.516996336996337,0.5425512969415408
16,C1-C3,fbar_var,50,0.5812230989956959,0.5634146341463415,0.6043185078909613
32,C1-C3,fbar_var,50,0.6391109841995051,0.6038149628783552,0.6641880830001903
64,C1-C3,fbar_var,50,0.7254901960784315,0.6862745098039216,0.7549019607843137
128,C1-C3,fbar_var,50,0.8269230769230769,0.7687384615384615,0.8825538461538461
256,C1-C3,fbar_var,50,0.921474358974359,0.8461538461538461,0.9615384615384616
1,C1-C4,fbar_var,50,0.637778455904791,0.6335708081969906,0.6416417454989319
4,C1-C4,fbar_var,50,0.7967624854819977,0.7848107448107448,0.805958485958486
16,C1-C4,fbar_var,50,0.9584708273553324,0.9487632711621233,0.9637876614060258
32,C1-C4,fbar_var,50,0.9902436702836476,0.9803921568627452,0.9951456310679612
64,C1-C4,fbar_var,50,0.9901960784313726,0.9803921568627452,1.0
128,C1-C4,fbar_var,50,1.0,0.9770461538461538,1.0
256,C1-C4,fbar_var,50,1.0,0.9615384615384616,1.0
1,C2-C3,fbar_var,50,0.5005340250228867,0.49700014307734786,0.5051136123565175
4,C2-C3,fbar_var,50,0.5254846779237023,0.5126731588195003,0.5327458530629263
16,C2-C3,fbar_var,50,0.577540650406504,0.5536585365853659,0.5955121951219513
32,C2-C3,fbar_var,50,0.6196221206929373,0.5905292213972968,0.6591795164667809
64,C2-C3,fbar_var,50,0.6832579185520362,0.6470588235294118,0.7294343891402716
128,C2-C3,fbar_var,50,0.745,0.6719692307692308,0.8051076923076923
256,C2-C3,fbar_var,50,0.7644230769230769,0.6897435897435897,0.8461538461538463
1,C2-C4,fbar_var,50,0.6354897772352761,0.6302935507512865,0.6412267317668598
4,C2-C4,fbar_var,50,0.7857812918788529,0.7791069716191668,0.7968265284850651
16,C2-C4,fbar_var,50,0.9390243902439024,0.9268043998087038,0.9494634146341463
32,C2-C4,fbar_var,50,0.9708499904816295,0.9610622501427756,0.981336379211879
64,C2-C4,fbar_var,50,0.9803921568627452,0.9691101055806938,1.0
128,C2-C4,fbar_var,50,1.0,0.9615384615384616,1.0
256,C2-C4,fbar_var,50,1.0,1.0,1.0
1,C3-C4,fbar_var,50,0.656138698212241,0.6513248105436082,0.6630620564462494
4,C3-C4,fbar_var,50,0.8169008159861818,0.8113553113553114,0.82854575776527
16,C3-C4,fbar_var,50,0.9609756097560976,0.9507589670014347,0.9707317073170731
32,C3-C4,fbar_var,50,0.9805349324195698,0.9755301732343424,0.9902912621359224
64,C3-C4,fbar_var,50,0.9901960784313726,0.9705882352941176,1.0
128,C3-C4,fbar_var,50,1.0,0.9770461538461538,1.0
256,C3-C4,fbar_var,50,1.0,0.9938461538461538,1.0
1,C4-rest,fbar_var,50,0.6108430905497206,0.6076178811538604,0.6154317110111666
4,C4-rest,fbar_var,50,0.7702697440045869,0.7628484994799071,0.7766816981951238
16,C4-rest,fbar_var,50,0.9434754111384762,0.9330488599348534,0.9528283149281004
32,C4-rest,fbar_var,50,0.9787634923676312,0.9673076281523014,0.9840194063141212
64,C4-rest,fbar_var,50,0.9803921568627452,0.9614177978883861,0.9967532467532468
128,C4-rest,fbar_var,50,0.9838911088911089,0.96,1.0
256,C4-rest,fbar_var,50,1.0,0.9615384615384616,1.0
