M,alpha,seed,fold,n_train_groups,n_test_groups,balanced_acc,runtime_sec
64,0.0,42,1,204,52,0.4230769230769231,0.24448132514953613
64,0.0,42,2,205,51,0.5676923076923077,0.22142457962036133
64,0.0,42,3,205,51,0.5092307692307692,0.22124290466308594
64,0.0,42,4,205,51,0.4907692307692308,0.2201385498046875
64,0.0,42,5,205,51,0.41307692307692306,0.22210025787353516
64,0.01,42,1,204,52,0.7115384615384615,0.21750450134277344
64,0.01,42,2,205,51,0.803076923076923,0.21444416046142578
64,0.01,42,3,205,51,0.6446153846153846,0.21336889266967773
64,0.01,42,4,205,51,0.61,0.21508121490478516
64,0.01,42,5,205,51,0.5900000000000001,0.21421146392822266
64,0.02,42,1,204,52,0.6923076923076923,0.21858429908752441
64,0.02,42,2,205,51,0.8423076923076923,0.22062468528747559
64,0.02,42,3,205,51,0.6446153846153846,0.21428132057189941
64,0.02,42,4,205,51,0.6492307692307693,0.2142775058746338
64,0.02,42,5,205,51,0.6307692307692307,0.22084903717041016
64,0.05,42,1,204,52,0.7884615384615385,0.2169632911682129
64,0.05,42,2,205,51,0.8807692307692307,0.22008109092712402
64,0.05,42,3,205,51,0.6838461538461539,0.2547740936279297
64,0.05,42,4,205,51,0.6892307692307692,0.21648907661437988
64,0.05,42,5,205,51,0.6892307692307692,0.2298421859741211
64,0.1,42,1,204,52,0.8653846153846154,0.21985864639282227
64,0.1,42,2,205,51,0.8430769230769231,0.2150287628173828
64,0.1,42,3,205,51,0.7607692307692309,0.21838855743408203
64,0.1,42,4,205,51,0.8061538461538462,0.21379423141479492
64,0.1,42,5,205,51,0.7084615384615385,0.21475720405578613
64,0.2,42,1,204,52,0.9230769230769231,0.21088385581970215
64,0.2,42,2,205,51,0.9007692307692308,0.21868348121643066
64,0.2,42,3,205,51,0.8807692307692307,0.2202308177947998
64,0.2,42,4,205,51,0.8446153846153847,0.21579360961914062
64,0.2,42,5,205,51,0.8453846153846154,0.21984100341796875
64,0.5,42,1,204,52,0.9615384615384616,0.2240922451019287
64,0.5,42,2,205,51,0.9615384615384616,0.21687769889831543
64,0.5,42,3,205,51,0.96,0.21608304977416992
64,0.5,42,4,205,51,0.9615384615384616,0.21374273300170898
64,0.5,42,5,205,51,1.0,0.21834707260131836
64,1.0,42,1,204,52,1.0,0.21045422554016113
64,1.0,42,2,205,51,0.9807692307692308,0.20877289772033691
64,1.0,42,3,205,51,1.0,0.21755385398864746
64,1.0,42,4,205,51,1.0,0.2118701934814453
64,1.0,42,5,205,51,1.0,0.22035646438598633
256,0.0,42,1,51,13,0.6071428571428572,0.21588563919067383
256,0.0,42,2,51,13,0.23809523809523808,0.1996445655822754
256,0.0,42,3,51,13,0.47619047619047616,0.2149670124053955
256,0.0,42,4,51,13,0.369047619047619,0.210160493850708
256,0.0,42,5,52,12,0.41666666666666663,0.20737409591674805
256,0.01,42,1,51,13,0.6071428571428572,0.21549725532531738
256,0.01,42,2,51,13,0.39285714285714285,0.20813727378845215
256,0.01,42,3,51,13,0.47619047619047616,0.20535039901733398
256,0.01,42,4,51,13,0.45238095238095233,0.21443700790405273
256,0.01,42,5,52,12,0.3333333333333333,0.19612360000610352
256,0.02,42,1,51,13,0.6071428571428572,0.20656085014343262
256,0.02,42,2,51,13,0.30952380952380953,0.20627284049987793
256,0.02,42,3,51,13,0.40476190476190477,0.1959366798400879
256,0.02,42,4,51,13,0.5238095238095238,0.202620267868042
256,0.02,42,5,52,12,0.41666666666666663,0.21341586112976074
256,0.05,42,1,51,13,0.6904761904761905,0.21171283721923828
256,0.05,42,2,51,13,0.38095238095238093,0.20949172973632812
256,0.05,42,3,51,13,0.47619047619047616,0.21350502967834473
256,0.05,42,4,51,13,0.45238095238095233,0.19584226608276367
256,0.05,42,5,52,12,0.41666666666666663,0.2158651351928711
256,0.1,42,1,51,13,0.7738095238095238,0.21175670623779297
256,0.1,42,2,51,13,0.4642857142857143,0.24454379081726074
256,0.1,42,3,51,13,0.7023809523809523,0.20366692543029785
256,0.1,42,4,51,13,0.6190476190476191,0.2090625762939453
256,0.1,42,5,52,12,0.5,0.20822668075561523
256,0.2,42,1,51,13,0.9166666666666667,0.2023482322692871
256,0.2,42,2,51,13,0.8571428571428572,0.19617342948913574
256,0.2,42,3,51,13,0.8452380952380952,0.21207094192504883
256,0.2,42,4,51,13,0.7738095238095238,0.20068144798278809
256,0.2,42,5,52,12,0.75,0.2019972801208496
256,0.5,42,1,51,13,1.0,0.20426321029663086
256,0.5,42,2,51,13,1.0,0.2032930850982666
256,0.5,42,3,51,13,1.0,0.20431923866271973
256,0.5,42,4,51,13,0.9166666666666667,0.1969308853149414
256,0.5,42,5,52,12,1.0,0.21099328994750977
256,1.0,42,1,51,13,1.0,0.1973717212677002
256,1.0,42,2,51,13,1.0,0.19729924201965332
256,1.0,42,3,51,13,1.0,0.20408010482788086
256,1.0,42,4,51,13,1.0,0.1953873634338379
256,1.0,42,5,52,12,1.0,0.20409178733825684
64,0.0,43,1,204,52,0.40384615384615385,0.21570134162902832
64,0.0,43,2,205,51,0.4707692307692308,0.21132731437683105
64,0.0,43,3,205,51,0.5692307692307692,0.2192230224609375
64,0.0,43,4,205,51,0.6476923076923078,0.21489787101745605
64,0.0,43,5,205,51,0.5092307692307692,0.2152254581451416
64,0.01,43,1,204,52,0.5961538461538461,0.2210071086883545
64,0.01,43,2,205,51,0.5869230769230769,0.21094012260437012
64,0.01,43,3,205,51,0.6461538461538461,0.22404098510742188
64,0.01,43,4,205,51,0.7461538461538462,0.21931076049804688
64,0.01,43,5,205,51,0.7646153846153847,0.2208092212677002
64,0.02,43,1,204,52,0.6153846153846154,0.21920228004455566
64,0.02,43,2,205,51,0.5869230769230769,0.21107912063598633
64,0.02,43,3,205,51,0.7261538461538461,0.21808505058288574
64,0.02,43,4,205,51,0.7853846153846153,0.21779727935791016
64,0.02,43,5,205,51,0.7846153846153847,0.2115485668182373
64,0.05,43,1,204,52,0.6346153846153846,0.21843767166137695
64,0.05,43,2,205,51,0.6269230769230769,0.21904826164245605
64,0.05,43,3,205,51,0.803076923076923,0.21673369407653809
64,0.05,43,4,205,51,0.8253846153846154,0.22202777862548828
64,0.05,43,5,205,51,0.7846153846153847,0.21364784240722656
64,0.1,43,1,204,52,0.6538461538461539,0.21957755088806152
64,0.1,43,2,205,51,0.7253846153846153,0.21327781677246094
64,0.1,43,3,205,51,0.8823076923076922,0.2151470184326172
64,0.1,43,4,205,51,0.8046153846153846,0.21835112571716309
64,0.1,43,5,205,51,0.8430769230769231,0.21834254264831543
64,0.2,43,1,204,52,0.8076923076923077,0.22572851181030273
64,0.2,43,2,205,51,0.7638461538461538,0.21813464164733887
64,0.2,43,3,205,51,0.9023076923076923,0.2386183738708496
64,0.2,43,4,205,51,0.823076923076923,0.21506619453430176
64,0.2,43,5,205,51,0.8830769230769231,0.22134137153625488
64,0.5,43,1,204,52,0.9038461538461539,0.22104859352111816
64,0.5,43,2,205,51,0.9607692307692308,0.2171323299407959
64,0.5,43,3,205,51,0.98,0.21336030960083008
64,0.5,43,4,205,51,0.9607692307692308,0.22018814086914062
64,0.5,43,5,205,51,0.8823076923076922,0.21264171600341797
64,1.0,43,1,204,52,1.0,0.19945192337036133
64,1.0,43,2,205,51,1.0,0.22362089157104492
64,1.0,43,3,205,51,1.0,0.21609878540039062
64,1.0,43,4,205,51,1.0,0.22387290000915527
64,1.0,43,5,205,51,0.98,0.21508264541625977
256,0.0,43,1,51,13,0.3214285714285714,0.20934057235717773
256,0.0,43,2,51,13,0.39285714285714285,0.21541929244995117
256,0.0,43,3,51,13,0.6309523809523809,0.2056276798248291
256,0.0,43,4,51,13,0.38095238095238093,0.21193218231201172
256,0.0,43,5,52,12,0.3333333333333333,0.2278270721435547
256,0.01,43,1,51,13,0.3214285714285714,0.20822763442993164
256,0.01,43,2,51,13,0.39285714285714285,0.21944022178649902
256,0.01,43,3,51,13,0.5476190476190476,0.22209858894348145
256,0.01,43,4,51,13,0.38095238095238093,0.2180931568145752
256,0.01,43,5,52,12,0.3333333333333333,0.21913743019104004
256,0.02,43,1,51,13,0.3214285714285714,0.21564960479736328
256,0.02,43,2,51,13,0.39285714285714285,0.22976016998291016
256,0.02,43,3,51,13,0.4642857142857143,0.21937298774719238
256,0.02,43,4,51,13,0.39285714285714285,0.22333121299743652
256,0.02,43,5,52,12,0.41666666666666663,0.2072761058807373
256,0.05,43,1,51,13,0.39285714285714285,0.2147364616394043
256,0.05,43,2,51,13,0.39285714285714285,0.19822049140930176
256,0.05,43,3,51,13,0.39285714285714285,0.22708630561828613
256,0.05,43,4,51,13,0.39285714285714285,0.19614791870117188
256,0.05,43,5,52,12,0.3333333333333333,0.21474957466125488
256,0.1,43,1,51,13,0.47619047619047616,0.21576499938964844
256,0.1,43,2,51,13,0.5595238095238095,0.19577336311340332
