M,alpha,n,median,p16,p84
64,0.0,50,0.5092307692307692,0.44058461538461535,0.5678153846153846
64,0.01,50,0.6673076923076924,0.5897538461538462,0.7328615384615385
64,0.02,50,0.6853846153846155,0.6153846153846154,0.7520923076923076
64,0.05,50,0.726923076923077,0.6844923076923077,0.8051076923076923
64,0.1,50,0.7776923076923077,0.7236,0.8292615384615384
64,0.2,50,0.8623076923076922,0.8072,0.9016615384615385
64,0.5,50,0.9607692307692308,0.9221846153846155,0.9801230769230769
64,1.0,50,0.9903846153846154,0.9614153846153847,1.0
256,0.0,50,0.5,0.369047619047619,0.6309523809523809
256,0.01,50,0.4642857142857143,0.3633333333333333,0.6190476190476191
256,0.02,50,0.5297619047619048,0.369047619047619,0.6366666666666665
256,0.05,50,0.4821428571428571,0.3928571428571428,0.6209523809523809
256,0.1,50,0.6130952380952381,0.4642857142857143,0.7023809523809523
256,0.2,50,0.7619047619047619,0.6785714285714286,0.8571428571428572
256,0.5,50,0.9285714285714286,0.9166666666666669,1.0
256,1.0,50,1.0,1.0,1.0
