regime,M,pair,seed,fold,n_train_groups,n_test_groups,balanced_acc,exploratory_flag,runtime_sec
per_sightline,1,C1-C2,42,1,26214,6554,0.29432407689960327,0,3.907141923904419
per_sightline,1,C1-C2,42,2,26214,6554,0.2851693622215441,0,4.065067768096924
per_sightline,1,C1-C2,42,3,26214,6554,0.28761061946902655,0,3.987687110900879
per_sightline,1,C1-C2,42,4,26215,6553,0.2890221576138573,0,4.027815103530884
per_sightline,1,C1-C2,42,5,26215,6553,0.27972492448385033,0,3.8970322608947754
per_sightline,1,C1-C3,42,1,26214,6554,0.41653951785169363,0,2.92610239982605
per_sightline,1,C1-C3,42,2,26214,6554,0.4180653036313702,0,2.9911561012268066
per_sightline,1,C1-C3,42,3,26214,6554,0.41776014647543486,0,2.972055196762085
per_sightline,1,C1-C3,42,4,26215,6553,0.40759625211868117,0,2.951204299926758
per_sightline,1,C1-C3,42,5,26215,6553,0.414011398867975,0,2.9089112281799316
per_sightline,1,C1-C4,42,1,26214,6554,0.7970704913030211,0,2.366607666015625
per_sightline,1,C1-C4,42,2,26214,6554,0.7908147696063472,0,2.364506721496582
per_sightline,1,C1-C4,42,3,26214,6554,0.804546841623436,0,2.2961902618408203
per_sightline,1,C1-C4,42,4,26215,6553,0.7836061769918956,0,2.3205959796905518
per_sightline,1,C1-C4,42,5,26215,6553,0.7891093453726961,0,2.3428430557250977
per_sightline,1,C2-C3,42,1,26214,6554,0.36191638693927375,0,2.797346830368042
per_sightline,1,C2-C3,42,2,26214,6554,0.362221544095209,0,2.9015352725982666
per_sightline,1,C2-C3,42,3,26214,6554,0.3536771437290205,0,2.8756983280181885
per_sightline,1,C2-C3,42,4,26215,6553,0.34503186265468844,0,2.754570722579956
per_sightline,1,C2-C3,42,5,26215,6553,0.36181802126263524,0,2.810131072998047
per_sightline,1,C2-C4,42,1,26214,6554,0.7873054623130913,0,2.2467803955078125
per_sightline,1,C2-C4,42,2,26214,6554,0.7804394263045469,0,2.245211124420166
per_sightline,1,C2-C4,42,3,26214,6554,0.7964601769911503,0,2.2890126705169678
per_sightline,1,C2-C4,42,4,26215,6553,0.7787218926599457,0,2.288958787918091
per_sightline,1,C2-C4,42,5,26215,6553,0.7761376046392829,0,2.215043783187866
per_sightline,1,C3-C4,42,1,26214,6554,0.7708269758925848,0,2.1953611373901367
per_sightline,1,C3-C4,42,2,26214,6554,0.7638083613060727,0,2.217653512954712
per_sightline,1,C3-C4,42,3,26214,6554,0.7801342691486115,0,2.2275333404541016
per_sightline,1,C3-C4,42,4,26215,6553,0.7657501053518753,0,2.251549482345581
per_sightline,1,C3-C4,42,5,26215,6553,0.7619467256711687,0,2.2578232288360596
per_sightline,1,C4-rest,42,1,52428,13108,0.7478893296714475,0,6.000079393386841
per_sightline,1,C4-rest,42,2,52429,13107,0.7478695354420102,0,5.880124807357788
per_sightline,1,C4-rest,42,3,52429,13107,0.7570419747858855,0,5.8598268032073975
per_sightline,1,C4-rest,42,4,52429,13107,0.7512438646492975,0,6.051325559616089
per_sightline,1,C4-rest,42,5,52429,13107,0.7491586292576485,0,6.12231707572937
per_sightline,1,C1-C2,43,1,26214,6554,0.27677754043332314,0,3.8952858448028564
per_sightline,1,C1-C2,43,2,26214,6554,0.2908147696063473,0,3.695892572402954
per_sightline,1,C1-C2,43,3,26214,6554,0.30042722001830946,0,3.8357489109039307
per_sightline,1,C1-C2,43,4,26215,6553,0.29237865345585823,0,4.082666397094727
per_sightline,1,C1-C2,43,5,26215,6553,0.291321734753227,0,4.115754842758179
per_sightline,1,C1-C3,43,1,26214,6554,0.4237107110161733,0,2.978369951248169
per_sightline,1,C1-C3,43,2,26214,6554,0.42645712541959113,0,2.8961100578308105
per_sightline,1,C1-C3,43,3,26214,6554,0.4142508391821788,0,2.9364209175109863
per_sightline,1,C1-C3,43,4,26215,6553,0.4051549482965412,0,2.9907755851745605
per_sightline,1,C1-C3,43,5,26215,6553,0.4120289019968605,0,2.9815194606781006
per_sightline,1,C1-C4,43,1,26214,6554,0.78608483368935,0,2.413299798965454
per_sightline,1,C1-C4,43,2,26214,6554,0.7941714983216357,0,2.2783477306365967
per_sightline,1,C1-C4,43,3,26214,6554,0.7949343912114739,0,2.3571102619171143
per_sightline,1,C1-C4,43,4,26215,6553,0.8017654496522364,0,2.3682920932769775
per_sightline,1,C1-C4,43,5,26215,6553,0.7865150438006709,0,2.34179949760437
per_sightline,1,C2-C3,43,1,26214,6554,0.35993286542569425,0,2.8187973499298096
per_sightline,1,C2-C3,43,2,26214,6554,0.35978028684772656,0,2.8104634284973145
per_sightline,1,C2-C3,43,3,26214,6554,0.355202929508697,0,2.9096243381500244
per_sightline,1,C2-C3,43,4,26215,6553,0.3615153325635474,0,2.854959726333618
per_sightline,1,C2-C3,43,5,26215,6553,0.3697549483710607,0,2.8001537322998047
per_sightline,1,C2-C4,43,1,26214,6554,0.7831858407079646,0,2.256643772125244
per_sightline,1,C2-C4,43,2,26214,6554,0.7769301190112907,0,2.2372689247131348
per_sightline,1,C2-C4,43,3,26214,6554,0.7889838266707354,0,2.227668046951294
per_sightline,1,C2-C4,43,4,26215,6553,0.7862001991159757,0,2.2572085857391357
per_sightline,1,C2-C4,43,5,26215,6553,0.7808700555877852,0,2.1912460327148438
per_sightline,1,C3-C4,43,1,26214,6554,0.7657918828196522,0,2.2575137615203857
per_sightline,1,C3-C4,43,2,26214,6554,0.763198046994202,0,2.22196888923645
per_sightline,1,C3-C4,43,3,26214,6554,0.7723527616722612,0,2.270263910293579
per_sightline,1,C3-C4,43,4,26215,6553,0.7727710020966048,0,2.237340211868286
per_sightline,1,C3-C4,43,5,26215,6553,0.7680523838213799,0,2.2352728843688965
per_sightline,1,C4-rest,43,1,52428,13108,0.7503814464449191,0,5.991544961929321
per_sightline,1,C4-rest,43,2,52429,13107,0.7511761498258294,0,5.848243236541748
per_sightline,1,C4-rest,43,3,52429,13107,0.747429586460832,0,6.004960298538208
per_sightline,1,C4-rest,43,4,52429,13107,0.7517015382962917,0,6.106307506561279
per_sightline,1,C4-rest,43,5,52429,13107,0.7554143819977767,0,5.811334133148193
per_sightline,1,C1-C2,44,1,26214,6554,0.2863899908452853,0,4.006243705749512
per_sightline,1,C1-C2,44,2,26214,6554,0.2815074763503204,0,3.812652826309204
per_sightline,1,C1-C2,44,3,26214,6554,0.2918828196521208,0,3.8018035888671875
per_sightline,1,C1-C2,44,4,26215,6553,0.2862747651426321,0,3.9855470657348633
per_sightline,1,C1-C2,44,5,26215,6553,0.2904053783669286,0,3.9366958141326904
per_sightline,1,C1-C3,44,1,26214,6554,0.41318278913640527,0,2.962465286254883
per_sightline,1,C1-C3,44,2,26214,6554,0.4162343606957583,0,2.9507343769073486
per_sightline,1,C1-C3,44,3,26214,6554,0.4133353677143729,0,2.942211389541626
per_sightline,1,C1-C3,44,4,26215,6553,0.4124776488218661,0,2.9521138668060303
per_sightline,1,C1-C3,44,5,26215,6553,0.40592557257952433,0,3.0697519779205322
per_sightline,1,C1-C4,44,1,26214,6554,0.7898992981385413,0,2.352506637573242
per_sightline,1,C1-C4,44,2,26214,6554,0.8001220628623741,0,2.2975194454193115
per_sightline,1,C1-C4,44,3,26214,6554,0.789594140982606,0,2.264538526535034
