regime,M,pair,n,median,p16,p84,exploratory_flag
global,1,C1-C2,50,0.29650649548803343,0.2911528289633263,0.3019774183704607,0
global,4,C1-C2,50,0.4328449328449328,0.4222460764168081,0.44478602698114894,0
global,16,C1-C2,50,0.671951219512195,0.6463414634146342,0.6849440459110473,0
global,32,C1-C2,50,0.7800780506377308,0.7446106986483914,0.8048543689320389,0
global,64,C1-C2,50,0.8734917043740573,0.8419306184012066,0.8937254901960784,0
global,128,C1-C2,50,0.9415384615384615,0.8979384615384616,0.9644923076923076,0
global,256,C1-C2,50,1.0,0.9615384615384616,1.0,0
global,1,C1-C3,50,0.41737870003051564,0.411923015444529,0.42366817903894494,0
global,4,C1-C3,50,0.5097680097680097,0.4989652461359778,0.524004884004884,0
global,16,C1-C3,50,0.6378048780487805,0.6121951219512195,0.6555011956001913,0
global,32,C1-C3,50,0.7221349704930515,0.7009556443936797,0.7526327812678469,0
global,64,C1-C3,50,0.8333333333333333,0.7953770739064857,0.8545098039215686,0
global,128,C1-C3,50,0.903846153846154,0.8650153846153846,0.9415384615384615,0
global,256,C1-C3,50,0.9615384615384616,0.9230769230769232,1.0,0
global,1,C1-C4,50,0.791640678007782,0.7869514800122063,0.7953610635118111,0
global,4,C1-C4,50,0.8803798505018017,0.8739438339438339,0.8866954048661366,0
global,16,C1-C4,50,0.9439024390243902,0.9341463414634146,0.9584662840746054,0
global,32,C1-C4,50,0.9657338663620788,0.951305920426423,0.9754901960784312,0
global,64,C1-C4,50,0.9901960784313726,0.9803921568627452,1.0,0
global,128,C1-C4,50,1.0,1.0,1.0,0
global,256,C1-C4,50,1.0,1.0,1.0,0
global,1,C2-C3,50,0.36571019552786416,0.3602380225816295,0.3700852241712785,0
global,4,C2-C3,50,0.43484171654903364,0.4249084249084249,0.4507448107448107,0
global,16,C2-C3,50,0.5035688665710187,0.476664275466284,0.5274261119081779,0
global,32,C2-C3,50,0.520631067961165,0.4833923472301542,0.5560841423948221,0
global,64,C2-C3,50,0.5686274509803921,0.5336877828054298,0.6112669683257919,0
global,128,C2-C3,50,0.601923076923077,0.5498769230769232,0.6476923076923078,0
global,256,C2-C3,50,0.6923076923076923,0.6138461538461539,0.7738461538461537,0
global,1,C2-C4,50,0.7840250228867867,0.7783033262129997,0.7884953404849652,0
global,4,C2-C4,50,0.8617216117216118,0.8539926739926741,0.8694505494505494,0
global,16,C2-C4,50,0.920642037302726,0.904286944045911,0.9341463414634146,0
global,32,C2-C4,50,0.9510517799352751,0.9355587283457072,0.96175899486008,0
global,64,C2-C4,50,0.9803921568627452,0.9691101055806938,0.9901960784313726,0
global,128,C2-C4,50,1.0,0.9969230769230769,1.0,0
global,256,C2-C4,50,1.0,1.0,1.0,0
global,1,C3-C4,50,0.7673524365811518,0.7633254827090652,0.7720720170888007,0
global,4,C3-C4,50,0.8369963369963369,0.8289621489621489,0.843187617260788,0
global,16,C3-C4,50,0.8975609756097561,0.8826461023433763,0.9195121951219511,0
global,32,C3-C4,50,0.9316581001332571,0.9122882162573768,0.946078431372549,0
global,64,C3-C4,50,0.9660633484162896,0.9516742081447963,0.980580693815988,0
global,128,C3-C4,50,1.0,0.98,1.0,0
global,256,C3-C4,50,1.0,1.0,1.0,0
global,1,C4-rest,50,0.7510078755882845,0.7473827687925949,0.7548160231410326,0
global,4,C4-rest,50,0.8353572943848103,0.8280138630692124,0.8424121822170603,0
global,16,C4-rest,50,0.9020139826805433,0.891042345276873,0.9138005879081592,0
global,32,C4-rest,50,0.9328057303690586,0.9186637820113341,0.9515927303213115,0
global,64,C4-rest,50,0.9738986503692386,0.9542908072319836,0.9869760957996252,0
global,128,C4-rest,50,1.0,0.98,1.0,0
global,256,C4-rest,50,1.0,1.0,1.0,0
per_sightline,1,C1-C2,50,0.2906103301472541,0.2844914047401078,0.29454555057393017,0
per_sightline,4,C1-C2,50,0.43298713481640305,0.42487268828732244,0.4449198308466601,0
per_sightline,16,C1-C2,50,0.6773015303682448,0.6531898613103778,0.6951219512195121,0
per_sightline,32,C1-C2,50,0.7825766228821626,0.7601427755568247,0.8148353321911289,0
per_sightline,64,C1-C2,50,0.8823529411764706,0.8535746606334842,0.9117647058823528,0
per_sightline,128,C1-C2,50,0.9423076923076924,0.9029538461538463,0.98,0
per_sightline,256,C1-C2,50,1.0,0.9615384615384616,1.0,0
per_sightline,1,C1-C3,50,0.41573042290161605,0.4115455297084836,0.42104272088403916,0
per_sightline,4,C1-C3,50,0.5137362637362637,0.4999023199023199,0.5224485541558713,0
per_sightline,16,C1-C3,50,0.6439024390243901,0.6236255380200861,0.6677025346724056,0
per_sightline,32,C1-C3,50,0.7337473824481249,0.7060422615648201,0.7564077669902912,0
per_sightline,64,C1-C3,50,0.8431372549019608,0.8137254901960784,0.8629864253393665,0
per_sightline,128,C1-C3,50,0.9215384615384616,0.8787076923076924,0.9444923076923076,0
per_sightline,256,C1-C3,50,0.9615384615384616,0.9583333333333331,1.0,0
per_sightline,1,C1-C4,50,0.7921564690522579,0.7875329385292765,0.7971938060921888,0
per_sightline,4,C1-C4,50,0.8801110813305936,0.8742906578516334,0.8853754727657167,0
per_sightline,16,C1-C4,50,0.9437171209947393,0.9341463414634146,0.9585365853658536,0
per_sightline,32,C1-C4,50,0.9633542737483345,0.9504245193222921,0.9707386255473064,0
per_sightline,64,C1-C4,50,0.9901960784313726,0.9711236802413272,1.0,0
per_sightline,128,C1-C4,50,1.0,1.0,1.0,0
per_sightline,256,C1-C4,50,1.0,1.0,1.0,0
per_sightline,1,C2-C3,50,0.3607243784425658,0.35579736372534654,0.36337162515374294,0
per_sightline,4,C2-C3,50,0.4316239316239316,0.42217338217338213,0.444373507251556,0
per_sightline,16,C2-C3,50,0.5024390243902439,0.4829378287900526,0.5225423242467718,0
per_sightline,32,C2-C3,50,0.5124214734437464,0.492623262897392,0.545237007424329,0
per_sightline,64,C2-C3,50,0.5657051282051282,0.5196078431372549,0.6116742081447964,0
per_sightline,128,C2-C3,50,0.6092307692307692,0.5504,0.6861538461538461,0
per_sightline,256,C2-C3,50,0.6858974358974359,0.6025641025641025,0.7611538461538461,0
per_sightline,512,C2-C3,50,0.7738095238095238,0.680952380952381,0.9166666666666669,1
per_sightline,1024,C2-C3,50,0.8333333333333333,0.6666666666666666,1.0,1
per_sightline,1,C2-C4,50,0.7837014221664816,0.7782117790662191,0.7882409571576493,0
per_sightline,4,C2-C4,50,0.8595848595848596,0.8516483516483517,0.8659471395812859,0
per_sightline,16,C2-C4,50,0.9195121951219511,0.9016145384983263,0.9317073170731708,0
per_sightline,32,C2-C4,50,0.95109937178755,0.931705691985532,0.960830001903674,0
per_sightline,64,C2-C4,50,0.9803921568627452,0.9607843137254902,0.9901960784313726,0
per_sightline,128,C2-C4,50,1.0,0.9807692307692308,1.0,0
per_sightline,256,C2-C4,50,1.0,1.0,1.0,0
per_sightline,1,C3-C4,50,0.7678866479026687,0.762627695601452,0.772894711838868,0
per_sightline,4,C3-C4,50,0.8379120879120878,0.8305006105006104,0.8433966169332022,0
per_sightline,16,C3-C4,50,0.8985533237685318,0.8818292682926829,0.9149861310377808,0
per_sightline,32,C3-C4,50,0.9268513230534932,0.9112564249000571,0.9422806015610127,0
per_sightline,64,C3-C4,50,0.9613499245852186,0.9509803921568628,0.980422322775264,0
per_sightline,128,C3-C4,50,1.0,0.9614153846153847,1.0,0
per_sightline,256,C3-C4,50,1.0,1.0,1.0,0
per_sightline,1,C4-rest,50,0.7509641010389934,0.7473941830318178,0.7554306909869366,0
per_sightline,4,C4-rest,50,0.8341514323003338,0.826983270957809,0.8409352968621262,0
per_sightline,16,C4-rest,50,0.8991638198140939,0.8894268689918169,0.9105545403988242,0
per_sightline,32,C4-rest,50,0.9300772338512988,0.9176463147163929,0.9477432607629963,0
per_sightline,64,C4-rest,50,0.9705882352941176,0.9542908072319836,0.983702571937866,0
per_sightline,128,C4-rest,50,1.0,0.98,1.0,0
per_sightline,256,C4-rest,50,1.0,1.0,1.0,0
