regime,M,n,binary_balanced_acc_median,binary_balanced_acc_p16,binary_balanced_acc_p84,four_class_balanced_acc_median,delta_binary_minus_4class
global,1,50,0.7924902500000001,0.7883409400000001,0.7959219466666667,0.2941985232666496,0.4982917267333505
global,4,50,0.8597012500000001,0.8528607466666667,0.8669260733333334,0.3799765106167545,0.47972473938324556
global,16,50,0.9144649166666667,0.9044730933333333,0.9246336666666666,0.5224025585844093,0.3920623580822574
global,32,50,0.9464195833333333,0.9331124866666667,0.9592236599999999,0.5932205406434419,0.35319904268989144
global,64,50,0.97413875,0.9543012799999999,0.9907188800000001,0.6791101055806938,0.2950286444193062
global,128,50,1.0,0.980769,1.0,0.7417307692307693,0.2582692307692307
global,256,50,1.0,1.0,1.0,0.8269230769230769,0.17307692307692313
per_sightline,1,50,0.7935424999999999,0.7907823,0.7978726133333334,0.29286825789915505,0.5006742421008449
per_sightline,4,50,0.8597033333333334,0.8522695666666666,0.8656648933333332,0.38034374162422946,0.4793595917091039
per_sightline,16,50,0.91244825,0.9030605133333334,0.9243600933333334,0.524079387852702,0.38836886214729793
per_sightline,32,50,0.9446111666666667,0.92850932,0.9559798666666666,0.5988482771749476,0.34576288949171907
per_sightline,64,50,0.9710595000000001,0.9603138999999999,0.98750366,0.6856617647058824,0.2853977352941177
per_sightline,128,50,1.0,0.980769,1.0,0.7475,0.25249999999999995
per_sightline,256,50,1.0,1.0,1.0,0.8325320512820513,0.16746794871794868
