regime,M,pair,n,pair_balanced_acc_median,pair_balanced_acc_p16,pair_balanced_acc_p84
global,1,C1-C2,50,0.23506030660664856,0.22968211977644787,0.24467379012190363
global,1,C1-C3,50,0.3779382861087088,0.3714388045631875,0.3866922905655912
global,1,C1-C4,50,0.7383229999593832,0.7282015434793471,0.749158891944048
global,1,C2-C3,50,0.3100802442670996,0.30195464154667606,0.31777954369413136
global,1,C2-C4,50,0.7130437540862671,0.7014199274587141,0.7251296867148401
global,1,C3-C4,50,0.7076539569296041,0.7003391135618768,0.7150480120689603
global,4,C1-C2,50,0.3809202528690131,0.36951588258074425,0.3949728709029332
global,4,C1-C3,50,0.4668496101100713,0.44857288135644247,0.48150242466836235
global,4,C1-C4,50,0.8776322599158164,0.8645301249775588,0.8879596457399783
global,4,C2-C3,50,0.4013866742322847,0.38420171147976845,0.4145807961336675
global,4,C2-C4,50,0.8360689335702879,0.8224839447251309,0.859784443857424
global,4,C3-C4,50,0.7669786145867694,0.7507263716506384,0.777227011978682
global,16,C1-C2,50,0.6485636084670076,0.625036390264537,0.6730247023011603
global,16,C1-C3,50,0.5742577293480547,0.5467582754475231,0.59268821756472
global,16,C1-C4,50,0.9624243308037128,0.9512977736464518,0.9724209940951686
global,16,C2-C3,50,0.4863951193276592,0.4591498806551316,0.5198201963398484
global,16,C2-C4,50,0.9362660849135991,0.9121875884430708,0.9517614782844457
global,16,C3-C4,50,0.8388646109562883,0.8048512197393928,0.870469406314749
global,32,C1-C2,50,0.7581990732403276,0.7307816714549541,0.7881011240043906
global,32,C1-C3,50,0.6530954029940645,0.6196648692166894,0.689902375053569
global,32,C1-C4,50,0.9752767543419251,0.9672400877219635,0.9829363953690106
global,32,C2-C3,50,0.5140373773831832,0.470740727854356,0.5537076619264708
global,32,C2-C4,50,0.9718631626739617,0.9532572565713087,0.9858829985803703
global,32,C3-C4,50,0.8958557977147538,0.8587322029163108,0.9334181621154849
global,64,C1-C2,50,0.8749183234668123,0.8311274544395606,0.9045299988326714
global,64,C1-C3,50,0.7787520605023908,0.7376376453710475,0.8364916827572804
global,64,C1-C4,50,0.9894724385906583,0.9784988156992175,1.0
global,64,C2-C3,50,0.5473599816411796,0.507092692002006,0.5882260780398678
global,64,C2-C4,50,1.0,0.9820368475075019,1.0
global,64,C3-C4,50,0.9630508927132184,0.9272114589178461,0.9900312914559891
global,128,C1-C2,50,0.9487990943829006,0.9074818136842105,0.9765217391304347
global,128,C1-C3,50,0.8914410136608671,0.8246329963636363,0.9375000162499898
global,128,C1-C4,50,1.0,1.0,1.0
global,128,C2-C3,50,0.5822370677996889,0.5341180210850159,0.6906923237212614
global,128,C2-C4,50,1.0,1.0,1.0
global,128,C3-C4,50,1.0,0.9746666112000887,1.0
global,256,C1-C2,50,1.0,0.957727319238976,1.0
global,256,C1-C3,50,0.9545455557851732,0.9285714285714286,1.0
global,256,C1-C4,50,1.0,1.0,1.0
global,256,C2-C3,50,0.6810900069444369,0.5941026788888901,0.7980771354166554
global,256,C2-C4,50,1.0,1.0,1.0
global,256,C3-C4,50,1.0,1.0,1.0
per_sightline,1,C1-C2,50,0.23071441179808794,0.2216518071587178,0.23775937678767797
per_sightline,1,C1-C3,50,0.37545207141489123,0.3665248924474862,0.38376500847977774
per_sightline,1,C1-C4,50,0.7389585449390288,0.7322451082996015,0.7501903977137989
per_sightline,1,C2-C3,50,0.30591712332357424,0.29960669930719946,0.31161559373895764
per_sightline,1,C2-C4,50,0.7105377082313827,0.6999097214089834,0.720955779832834
per_sightline,1,C3-C4,50,0.7074691428709426,0.7010217016478166,0.7144916550204164
per_sightline,4,C1-C2,50,0.37912746241952977,0.3707955087437563,0.3943510389890291
