regime,M,seed,fold,n_train_groups,n_test_groups,balanced_acc,binary_c4_vs_rest,mid_k_frac,confusion_flat,runtime_sec
per_sightline_mean_removed,64,42,1,819,205,0.7012631975867271,0.9869281045751634,0.3831116666924744,"0.942308,0.019231,0.038462,0.000000,0.176471,0.529412,0.294118,0.000000,0.215686,0.411765,0.352941,0.019608,0.000000,0.000000,0.019608,0.980392",4.389825105667114
per_sightline_mean_removed,64,42,2,819,205,0.6539404223227752,0.9411764705882353,0.3835882453048781,"0.823529,0.019608,0.117647,0.039216,0.153846,0.596154,0.250000,0.000000,0.235294,0.411765,0.274510,0.078431,0.019608,0.000000,0.058824,0.921569",0.4653761386871338
per_sightline_mean_removed,64,42,3,819,205,0.6796757164404224,0.9837229763700353,0.38901928541688646,"0.843137,0.058824,0.098039,0.000000,0.078431,0.549020,0.352941,0.019608,0.250000,0.384615,0.346154,0.019231,0.000000,0.000000,0.019608,0.980392",0.4843728542327881
per_sightline_mean_removed,64,42,4,819,205,0.7010746606334841,0.9707767722473605,0.384264626099226,"0.803922,0.058824,0.058824,0.078431,0.098039,0.607843,0.294118,0.000000,0.215686,0.333333,0.411765,0.039216,0.000000,0.019231,0.000000,0.980769",0.4766654968261719
per_sightline_mean_removed,64,42,5,820,204,0.7058823529411764,0.9901960784313726,0.38139086437036906,"0.901961,0.000000,0.098039,0.000000,0.098039,0.490196,0.411765,0.000000,0.117647,0.431373,0.450980,0.000000,0.000000,0.019608,0.000000,0.980392",0.4698488712310791
per_sightline_mean_removed,64,43,1,819,205,0.6723227752639517,0.9803921568627452,0.37838002192289344,"0.846154,0.115385,0.038462,0.000000,0.098039,0.568627,0.333333,0.000000,0.196078,0.490196,0.313725,0.000000,0.000000,0.019608,0.019608,0.960784",0.492034912109375
per_sightline_mean_removed,64,43,2,819,205,0.7030542986425339,0.9869281045751634,0.3779251809264047,"0.862745,0.078431,0.058824,0.000000,0.173077,0.576923,0.250000,0.000000,0.156863,0.431373,0.392157,0.019608,0.000000,0.000000,0.019608,0.980392",0.4978451728820801
per_sightline_mean_removed,64,43,3,819,205,0.665158371040724,0.9609100050276521,0.3817124802560977,"0.901961,0.039216,0.039216,0.019608,0.156863,0.509804,0.333333,0.000000,0.250000,0.403846,0.307692,0.038462,0.019608,0.000000,0.039216,0.941176",0.6004810333251953
per_sightline_mean_removed,64,43,4,819,205,0.6571455505279035,0.9646178984414279,0.3887166303355401,"0.784314,0.058824,0.117647,0.039216,0.117647,0.588235,0.294118,0.000000,0.215686,0.470588,0.313725,0.000000,0.019231,0.019231,0.019231,0.942308",0.47945737838745117
per_sightline_mean_removed,64,43,5,820,204,0.7303921568627451,0.977124183006536,0.3816254955777786,"0.960784,0.019608,0.019608,0.000000,0.058824,0.607843,0.333333,0.000000,0.215686,0.372549,0.392157,0.019608,0.019608,0.000000,0.019608,0.960784",0.497056245803833
per_sightline_mean_removed,64,44,1,819,205,0.6867458521870287,0.9673202614379085,0.3697467303546091,"0.903846,0.057692,0.038462,0.000000,0.098039,0.627451,0.274510,0.000000,0.156863,0.549020,0.274510,0.019608,0.019608,0.019608,0.019608,0.941176",0.48954153060913086
per_sightline_mean_removed,64,44,2,819,205,0.7176659125188537,0.9967320261437909,0.36743587959047547,"0.882353,0.000000,0.117647,0.000000,0.076923,0.596154,0.326923,0.000000,0.215686,0.372549,0.392157,0.019608,0.000000,0.000000,0.000000,1.000000",0.49499034881591797
per_sightline_mean_removed,64,44,3,819,205,0.7084276018099547,0.9609728506787331,0.37388893241557375,"0.901961,0.000000,0.098039,0.000000,0.117647,0.509804,0.372549,0.000000,0.153846,0.307692,0.480769,0.057692,0.000000,0.000000,0.058824,0.941176",0.5013866424560547
per_sightline_mean_removed,64,44,4,819,205,0.701263197586727,0.967885872297637,0.3728498530367995,"0.901961,0.019608,0.078431,0.000000,0.137255,0.470588,0.392157,0.000000,0.156863,0.333333,0.490196,0.019608,0.000000,0.000000,0.057692,0.942308",0.5334546566009521
per_sightline_mean_removed,64,44,5,820,204,0.7058823529411764,0.9673202614379085,0.3739314198599609,"0.882353,0.019608,0.098039,0.000000,0.078431,0.588235,0.333333,0.000000,0.137255,0.431373,0.411765,0.019608,0.000000,0.019608,0.039216,0.941176",0.5214729309082031
per_sightline_mean_removed,64,45,1,819,205,0.6382918552036199,0.9543112116641528,0.3783216030029446,"0.788462,0.057692,0.134615,0.019231,0.196078,0.490196,0.313725,0.000000,0.215686,0.411765,0.352941,0.019608,0.000000,0.000000,0.078431,0.921569",0.5193092823028564
per_sightline_mean_removed,64,45,2,819,205,0.6446078431372549,0.9772498743086979,0.3757866892575282,"0.823529,0.058824,0.078431,0.039216,0.096154,0.500000,0.365385,0.038462,0.274510,0.450980,0.274510,0.000000,0.000000,0.019608,0.000000,0.980392",0.5143589973449707
per_sightline_mean_removed,64,45,3,819,205,0.7193627450980392,0.9935268979386627,0.37367688802450716,"0.921569,0.019608,0.058824,0.000000,0.098039,0.705882,0.176471,0.019608,0.269231,0.461538,0.250000,0.019231,0.000000,0.000000,0.000000,1.000000",0.5100061893463135
per_sightline_mean_removed,64,45,4,819,205,0.7061651583710407,0.967885872297637,0.3795344133574944,"0.862745,0.039216,0.078431,0.019608,0.196078,0.549020,0.254902,0.000000,0.137255,0.392157,0.470588,0.000000,0.019231,0.000000,0.038462,0.942308",0.5076425075531006
per_sightline_mean_removed,64,45,5,820,204,0.6176470588235294,0.9575163398692811,0.38212393109832105,"0.745098,0.098039,0.137255,0.019608,0.078431,0.411765,0.509804,0.000000,0.254902,0.313725,0.372549,0.058824,0.000000,0.000000,0.058824,0.941176",0.5147449970245361
per_sightline_mean_removed,64,46,1,819,205,0.6672322775263952,0.9804550025138261,0.3819215688176487,"0.884615,0.038462,0.057692,0.019231,0.098039,0.470588,0.392157,0.039216,0.333333,0.294118,0.313725,0.058824,0.000000,0.000000,0.000000,1.000000",0.5053503513336182
per_sightline_mean_removed,64,46,2,819,205,0.6545060331825038,0.9771870286576169,0.38412095291378684,"0.823529,0.078431,0.078431,0.019608,0.076923,0.480769,0.423077,0.019231,0.176471,0.450980,0.333333,0.039216,0.000000,0.000000,0.019608,0.980392",0.5142405033111572
per_sightline_mean_removed,64,46,3,819,205,0.6888197586726998,0.9509803921568627,0.3820797503277077,"0.882353,0.000000,0.117647,0.000000,0.176471,0.490196,0.333333,0.000000,0.153846,0.365385,0.480769,0.000000,0.000000,0.000000,0.098039,0.901961",0.5476875305175781
per_sightline_mean_removed,64,46,4,819,205,0.6521493212669683,0.9742332830568126,0.3692527881013378,"0.784314,0.019608,0.196078,0.000000,0.098039,0.529412,0.352941,0.019608,0.156863,0.490196,0.333333,0.019608,0.019231,0.000000,0.019231,0.961538",0.5491983890533447
per_sightline_mean_removed,64,46,5,820,204,0.7058823529411764,0.9869281045751634,0.3665941336470232,"0.764706,0.078431,0.117647,0.039216,0.117647,0.627451,0.254902,0.000000,0.137255,0.392157,0.431373,0.039216,0.000000,0.000000,0.000000,1.000000",0.5415353775024414
per_sightline_mean_removed,256,42,1,204,52,0.8653846153846154,1.0,0.40886359252722604,"1.000000,0.000000,0.000000,0.000000,0.000000,0.692308,0.307692,0.000000,0.000000,0.230769,0.769231,0.000000,0.000000,0.000000,0.000000,1.000000",0.36553525924682617
per_sightline_mean_removed,256,42,2,205,51,0.8653846153846154,1.0,0.41272912743706996,"0.923077,0.000000,0.076923,0.000000,0.000000,0.846154,0.153846,0.000000,0.076923,0.230769,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.3661386966705322
per_sightline_mean_removed,256,42,3,205,51,0.9006410256410257,1.0,0.41722262035243857,"1.000000,0.000000,0.000000,0.000000,0.000000,0.769231,0.230769,0.000000,0.000000,0.166667,0.833333,0.000000,0.000000,0.000000,0.000000,1.000000",0.3630650043487549
per_sightline_mean_removed,256,42,4,205,51,0.8397435897435896,1.0,0.39380398492747326,"1.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.333333,0.000000,0.153846,0.153846,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.3771958351135254
per_sightline_mean_removed,256,42,5,205,51,0.8846153846153846,1.0,0.402101757705981,"1.000000,0.000000,0.000000,0.000000,0.000000,0.846154,0.153846,0.000000,0.076923,0.230769,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.37471890449523926
per_sightline_mean_removed,256,43,1,204,52,0.7692307692307693,1.0,0.4001686257977934,"0.923077,0.000000,0.076923,0.000000,0.000000,0.769231,0.230769,0.000000,0.076923,0.538462,0.384615,0.000000,0.000000,0.000000,0.000000,1.000000",0.37660694122314453
per_sightline_mean_removed,256,43,2,205,51,0.75,1.0,0.39942830621823877,"1.000000,0.000000,0.000000,0.000000,0.000000,0.384615,0.615385,0.000000,0.000000,0.384615,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.3709125518798828
per_sightline_mean_removed,256,43,3,205,51,0.8189102564102564,1.0,0.39725923181753536,"1.000000,0.000000,0.000000,0.000000,0.000000,0.692308,0.307692,0.000000,0.083333,0.333333,0.583333,0.000000,0.000000,0.000000,0.000000,1.000000",0.38418006896972656
per_sightline_mean_removed,256,43,4,205,51,0.8974358974358974,1.0,0.3990895967399365,"1.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.333333,0.000000,0.000000,0.076923,0.923077,0.000000,0.000000,0.000000,0.000000,1.000000",0.38220858573913574
per_sightline_mean_removed,256,43,5,205,51,0.8461538461538461,1.0,0.38991279012302654,"1.000000,0.000000,0.000000,0.000000,0.000000,0.615385,0.384615,0.000000,0.000000,0.230769,0.769231,0.000000,0.000000,0.000000,0.000000,1.000000",0.36353397369384766
per_sightline_mean_removed,256,44,1,204,52,0.8653846153846154,1.0,0.3554727839863897,"1.000000,0.000000,0.000000,0.000000,0.000000,0.692308,0.307692,0.000000,0.000000,0.230769,0.769231,0.000000,0.000000,0.000000,0.000000,1.000000",0.38156986236572266
per_sightline_mean_removed,256,44,2,205,51,0.8269230769230769,1.0,0.37224646797617034,"1.000000,0.000000,0.000000,0.000000,0.000000,0.615385,0.384615,0.000000,0.000000,0.307692,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.37282705307006836
per_sightline_mean_removed,256,44,3,205,51,0.8012820512820512,1.0,0.38322547692837716,"1.000000,0.000000,0.000000,0.000000,0.000000,0.538462,0.461538,0.000000,0.000000,0.333333,0.666667,0.000000,0.000000,0.000000,0.000000,1.000000",0.3857588768005371
per_sightline_mean_removed,256,44,4,205,51,0.8189102564102564,1.0,0.38744837659174025,"1.000000,0.000000,0.000000,0.000000,0.000000,0.583333,0.416667,0.000000,0.076923,0.230769,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.38107919692993164
per_sightline_mean_removed,256,44,5,205,51,0.8653846153846154,1.0,0.37398488432988297,"1.000000,0.000000,0.000000,0.000000,0.000000,0.846154,0.153846,0.000000,0.076923,0.307692,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.37535929679870605
per_sightline_mean_removed,256,45,1,204,52,0.7692307692307693,1.0,0.3978311018760214,"0.846154,0.000000,0.153846,0.000000,0.000000,0.615385,0.384615,0.000000,0.076923,0.307692,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.37890148162841797
per_sightline_mean_removed,256,45,2,205,51,0.8461538461538461,1.0,0.3727507838101988,"1.000000,0.000000,0.000000,0.000000,0.000000,0.769231,0.230769,0.000000,0.076923,0.307692,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.37620043754577637
per_sightline_mean_removed,256,45,3,205,51,0.7403846153846154,1.0,0.3861162950538629,"1.000000,0.000000,0.000000,0.000000,0.076923,0.461538,0.461538,0.000000,0.250000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000",0.3823385238647461
per_sightline_mean_removed,256,45,4,205,51,0.8189102564102564,1.0,0.3747253200869941,"1.000000,0.000000,0.000000,0.000000,0.000000,0.583333,0.416667,0.000000,0.000000,0.307692,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.36856985092163086
per_sightline_mean_removed,256,45,5,205,51,0.7676282051282051,1.0,0.37437728473774595,"0.916667,0.000000,0.083333,0.000000,0.000000,0.538462,0.461538,0.000000,0.000000,0.384615,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.3761293888092041
per_sightline_mean_removed,256,46,1,204,52,0.8269230769230769,1.0,0.38082388614728474,"1.000000,0.000000,0.000000,0.000000,0.000000,0.615385,0.384615,0.000000,0.000000,0.307692,0.692308,0.000000,0.000000,0.000000,0.000000,1.000000",0.38463306427001953
per_sightline_mean_removed,256,46,2,205,51,0.75,1.0,0.38358474219417893,"1.000000,0.000000,0.000000,0.000000,0.076923,0.615385,0.307692,0.000000,0.000000,0.615385,0.384615,0.000000,0.000000,0.000000,0.000000,1.000000",0.3764183521270752
per_sightline_mean_removed,256,46,3,205,51,0.8173076923076923,1.0,0.37228330535540666,"1.000000,0.000000,0.000000,0.000000,0.000000,0.769231,0.230769,0.000000,0.083333,0.416667,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000",0.3826298713684082
per_sightline_mean_removed,256,46,4,205,51,0.8012820512820512,1.0,0.37564463541687504,"1.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.333333,0.000000,0.076923,0.384615,0.538462,0.000000,0.000000,0.000000,0.000000,1.000000",0.3925809860229492
per_sightline_mean_removed,256,46,5,205,51,0.8461538461538461,1.0,0.35489738872255977,"1.000000,0.000000,0.000000,0.000000,0.000000,0.769231,0.230769,0.000000,0.076923,0.307692,0.615385,0.000000,0.000000,0.000000,0.000000,1.000000",0.4032011032104492
