k,inertia,silhouette
2,283833.603332552,0.32324295002658343
3,211335.0555421604,0.37204690413859276
4,175825.83937321484,0.39072029952644727
5,156376.82953831457,0.40238304724168733
6,139002.4878248182,0.3074778872792809
7,124850.92070362475,0.31598897396536796
8,116296.38702687448,0.3107083683157339
9,110231.43085979985,0.3149756047085302
10,104426.80101957712,0.26334966172199037
11,99300.50993232998,0.265340285481723
12,94329.81947918815,0.26905413714020815
13,89881.39263399865,0.27258384355679
14,86691.50794908372,0.27522266507414905
15,84160.84790848763,0.23433469347711036
16,81718.3330054283,0.23382485988277277
17,79341.87262529157,0.23255440670829308
18,77293.15107000052,0.23453145089799
19,75506.25135511653,0.23614677119584174
20,73854.88758989565,0.23508988076099643
