k,inertia,silhouette
2,299706.3596004975,0.49006879678779236
3,214255.89988428802,0.33803023882317657
4,173703.15689618772,0.35684144045218613
5,147831.16857613492,0.3539281507473523
6,132157.11806589525,0.27464341812912474
7,121392.76002642779,0.28278441512139835
8,114354.90767646948,0.28629240415280033
9,107577.65467284837,0.26583287709354375
10,101643.5579197196,0.2357450176487238
11,96664.92790363033,0.24027671921950847
12,91917.34651217697,0.24163824095034434
13,88590.63476486012,0.24300739828208462
14,85457.50460332938,0.24661192776730279
15,82533.67030367721,0.24985415133113256
16,80097.18243997243,0.21332460462033676
17,78029.50062925492,0.20705719361969493
18,76073.67427122532,0.20619005097961357
19,74156.74923804769,0.20877461867620778
20,72266.49444587545,0.2090001441258502
